"accession","length","host","protein","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"AGK72965","566","Human","HA","H1N1","USA","N","2011/03/08","Influenza A virus (A/Arizona/02/2011(H1N1))","","","","","","c"
"AIM39692","566","Human","HA","H1N1","USA","N","2014/02/16","Influenza A virus (A/Arizona/03/2014(H1N1))","","","","","","c"
"AOT92117","566","Human","HA","H1N1","USA","N","2016/01/01","Influenza A virus (A/Arizona/03/2016(H1N1))","","","","","","c"
"AGI52607","566","Human","HA","H1N1","USA","N","2010/04/03","Influenza A virus (A/Arizona/04/2010(H1N1))","","","","","","c"
"AGI52823","566","Human","HA","H1N1","USA","N","2010/05/11","Influenza A virus (A/Arizona/05/2010(H1N1))","","","","","","c"
"AGI55397","566","Human","HA","H1N1","USA","N","2010/05/29","Influenza A virus (A/Arizona/06/2010(H1N1))","","","","","","c"
"AKT08208","566","Human","HA","H1N1","USA","N","2013/10/30","Influenza A virus (A/Arizona/06/2013(H1N1))","","","","","","c"
"AGI55464","566","Human","HA","H1N1","USA","N","2010/08/25","Influenza A virus (A/Arizona/08/2010(H1N1))","","","","","","c"
"AGL04682","566","Human","HA","H1N1","USA","N","2012/01/24","Influenza A virus (A/Arizona/08/2012(H1N1))","","","","","","c"
"AKT08307","566","Human","HA","H1N1","USA","N","2013/11/19","Influenza A virus (A/Arizona/11/2013(H1N1))","","","","","","c"
"ANM87578","566","Human","HA","H1N1","USA","N","2016/01/19","Influenza A virus (A/Arizona/14/2016(H1N1))","","","","","","c"
"AGK72761","566","Human","HA","H1N1","USA","N","2010/12/25","Influenza A virus (A/Arizona/15/2010(H1N1))","","","","","","c"
"ANM87600","566","Human","HA","H1N1","USA","N","2016/01/18","Influenza A virus (A/Arizona/16/2016(H1N1))","","","","","","c"
"AMA11366","566","Human","HA","H1N1","USA","N","2015/10/24","Influenza A virus (A/Arizona/26/2015(H1N1))","","","","","","c"
"ANE27371","566","Human","HA","H1N1","USA","N","2015/12/31","Influenza A virus (A/Arizona/31/2015(H1N1))","","","","","","c"
"AHV83771","566","Human","HA","H1N1","USA","N","2014/01/07","Influenza A virus (A/Arizona/3530/2014(H1N1))","","","","","","c"
"AIC73744","566","Human","HA","H1N1","USA","N","2014/01/25","Influenza A virus (A/Arizona/3722/2014(H1N1))","","","","","","c"
"ANE27327","566","Human","HA","H1N1","USA","N","2015/12/01","Influenza A virus (A/Arizona/40/2015(H1N1))","","","","","","c"
"ANM87160","566","Human","HA","H1N1","USA","N","2015/12/06","Influenza A virus (A/Arizona/49/2015(H1N1))","","","","","","c"
"APG55939","566","Human","HA","H1N1","USA","N","2016/02/26","Influenza A virus (A/Arizona/5105/2016(H1N1))","","","","","","c"
"APR73821","566","Human","HA","H1N1","USA","N","2016/03/25","Influenza A virus (A/Arizona/5434/2016(H1N1))","","","","","","c"
"AOT87360","566","Human","HA","H1N1","USA","N","2016/03/15","Influenza A virus (A/Arizona/58/2016(H1N1))","","","","","","c"
"APO20401","566","Human","HA","H1N1","USA","N","2016/09/26","Influenza A virus (A/Arizona/72/2016(H1N1))","","","","","","c"
"AGF37807","566","Human","HA","H1N1","USA","N","2012/02/23","Influenza A virus (A/Arizona/M1/2012(H1N1))","","","","","","c"
"AGF68938","566","Human","HA","H1N1","USA","N","2012/04/03","Influenza A virus (A/Arizona/M15/2012(H1N1))","","","","","","c"
"AGF37808","566","Human","HA","H1N1","USA","N","2012/02/29","Influenza A virus (A/Arizona/M2/2012(H1N1))","","","","","","c"
"AGF68939","566","Human","HA","H1N1","USA","N","2012/03/10","Influenza A virus (A/Arizona/M6/2012(H1N1))","","","","","","c"
"AGF68933","566","Human","HA","H1N1","USA","N","2012/03/14","Influenza A virus (A/Arizona/M8/2012(H1N1))","","","","","","c"
"ANE28493","566","Human","HA","H1N1","USA","N","2016/01/09","Influenza A virus (A/Arkansas/01/2016(H1N1))","","","","","","c"
"AGK73332","566","Human","HA","H1N1","USA","N","2011/04/14","Influenza A virus (A/Arkansas/03/2011(H1N1))","","","","","","c"
"AQS20864","566","Human","HA","H1N1","USA","N","2017/01/19","Influenza A virus (A/Arkansas/06/2017(H1N1))","","","","","","c"
"AMA11552","566","Human","HA","H1N1","USA","N","2015/11/05","Influenza A virus (A/Arkansas/10/2015(H1N1))","","","","","","c"
"ANE26700","566","Human","HA","H1N1","USA","N","2015/11/05","Influenza A virus (A/Arkansas/10/2015(H1N1))","","","","","","c"
"ANM94715","566","Human","HA","H1N1","USA","N","2016/04/19","Influenza A virus (A/Arkansas/12/2016(H1N1))","","","","","","c"
"AKT08093","566","Human","HA","H1N1","USA","N","2013/10/21","Influenza A virus (A/Arkansas/16/2013(H1N1))","","","","","","c"
"AKT08152","566","Human","HA","H1N1","USA","N","2013/12/29","Influenza A virus (A/Arkansas/34/2013(H1N1))","","","","","","c"
"AHG96323","566","Human","HA","H1N1","USA","N","2013/11/05","Influenza A virus (A/Arkansas/3488/2013(H1N1))","","","","","","c"
"AHG96330","566","Human","HA","H1N1","USA","N","2013/12/04","Influenza A virus (A/Arkansas/3495/2013(H1N1))","","","","","","c"
"AOO54000","566","Human","HA","H1N1","Russia","N","2016/01/14","Influenza A virus (A/Arkhangelsk/CRIE-109/2016(H1N1))","","","","","","c"
"AOO54011","566","Human","HA","H1N1","Russia","N","2016/01/22","Influenza A virus (A/Arkhangelsk/CRIE-111/2016(H1N1))","","","","","","c"
"AJE62461","566","Human","HA","H1N1","India","T","2010/01/28","Influenza A virus (A/Assam/020/2010(H1N1))","","","","","","c"
"AEN79399","566","Human","HA","H1N1","India","T","2010/06/17","Influenza A virus (A/Assam/2590/2010(H1N1))","","","","","","c"
"AGM53854","566","Human","HA","H1N1","Russia","N","2013/01/26","Influenza A virus (A/Astrakhan/CRIE-16/2013(H1N1))","","","","","","c"
"AGM53855","566","Human","HA","H1N1","Russia","N","2013/01/28","Influenza A virus (A/Astrakhan/CRIE-17/2013(H1N1))","","","","","","c"
"AGM53856","566","Human","HA","H1N1","Russia","N","2013/02/05","Influenza A virus (A/Astrakhan/CRIE-18/2013(H1N1))","","","","","","c"
"ADM13061","566","Human","HA","H1N1","Greece","N","2010/01/13","Influenza A virus (A/Athens/INS389/2010(H1N1))","","","","","","c"
"ADM13071","566","Human","HA","H1N1","Greece","N","2010/01/14","Influenza A virus (A/Athens/INS390/2010(H1N1))","","","","","","c"
"ADO00730","566","Human","HA","H1N1","Greece","N","2010/01/06","Influenza A virus (A/Athens/INS392/2010(H1N1))","","","","","","c"
"ADO00740","566","Human","HA","H1N1","Greece","N","2010/01/06","Influenza A virus (A/Athens/INS393/2010(H1N1))","","","","","","c"
"ADM13081","566","Human","HA","H1N1","Greece","N","2010/01/11","Influenza A virus (A/Athens/INS394/2010(H1N1))","","","","","","c"
"ADM13111","566","Human","HA","H1N1","Greece","N","2010/01/24","Influenza A virus (A/Athens/INS398/2010(H1N1))","","","","","","c"
"AHM98898","566","Human","HA","H1N1","Greece","N","2011/01/28","Influenza A virus (A/Athens/INS3_699/2011(H1N1))","","","","","","c"
"ADM13211","566","Human","HA","H1N1","Greece","N","2010/01/30","Influenza A virus (A/Athens/INS411/2010(H1N1))","","","","","","c"
"ADM13251","566","Human","HA","H1N1","Greece","N","2010/01/18","Influenza A virus (A/Athens/INS417/2010(H1N1))","","","","","","c"
"ADM13261","566","Human","HA","H1N1","Greece","N","2010/01/25","Influenza A virus (A/Athens/INS419/2010(H1N1))","","","","","","c"
"ADM13271","566","Human","HA","H1N1","Greece","N","2010/01/27","Influenza A virus (A/Athens/INS420/2010(H1N1))","","","","","","c"
"ADM13281","566","Human","HA","H1N1","Greece","N","2010/02/03","Influenza A virus (A/Athens/INS421/2010(H1N1))","","","","","","c"
"AGB13270","566","Human","HA","H1N1","Greece","N","2011/01/19","Influenza A virus (A/Athens/INS551/2011(H1N1))","","","","","","c"
"AGB13280","566","Human","HA","H1N1","Greece","N","2011/01/27","Influenza A virus (A/Athens/INS552/2011(H1N1))","","","","","","c"
"AGB13290","566","Human","HA","H1N1","Greece","N","2011/02/01","Influenza A virus (A/Athens/INS553/2011(H1N1))","","","","","","c"
"AGB13310","566","Human","HA","H1N1","Greece","N","2010/02/24","Influenza A virus (A/Athens/INS555/2010(H1N1))","","","","","","c"
"AGB13320","566","Human","HA","H1N1","Greece","N","2011/02/04","Influenza A virus (A/Athens/INS562/2011(H1N1))","","","","","","c"
"AGB13330","566","Human","HA","H1N1","Greece","N","2011/02/11","Influenza A virus (A/Athens/INS564/2011(H1N1))","","","","","","c"
"AGB13016","566","Human","HA","H1N1","Greece","N","2011/02/12","Influenza A virus (A/Athens/INS566/2011(H1N1))","","","","","","c"
"AGB13048","566","Human","HA","H1N1","Greece","N","2011/02/27","Influenza A virus (A/Athens/INS570/2011(H1N1))","","","","","","c"
"AGB13350","566","Human","HA","H1N1","Greece","N","2011/02/27","Influenza A virus (A/Athens/INS571/2011(H1N1))","","","","","","c"
"AEM63501","566","Human","HA","H1N1","India","T","2010/02/24","Influenza A virus (A/Awb/NIV25611/2010(H1N1))","","","","","","c"
"ADM23851","566","Human","HA","H1N1","Brazil","T","2010/03/19","Influenza A virus (A/Bahia/160/2010(H1N1))","","","","","","c"
"ADM23852","566","Human","HA","H1N1","Brazil","T","2010/03/19","Influenza A virus (A/Bahia/161/2010(H1N1))","","","","","","c"
"ADM23854","566","Human","HA","H1N1","Brazil","T","2010/04/01","Influenza A virus (A/Bahia/231/2010(H1N1))","","","","","","c"
"ADT91182","566","Human","HA","H1N1","Iran","N","2010/10/02","Influenza A virus (A/Bandar Abbas/5096/2010(H1N1))","","","","","","c"
"AKM14740","566","Human","HA","H1N1","India","T","2012/05/26","Influenza A virus (A/Bangalore/1428-35/2012(H1N1))","","","","","","c"
"AKM14741","566","Human","HA","H1N1","India","T","2012/06/02","Influenza A virus (A/Bangalore/1491-34/2012(H1N1))","","","","","","c"
"AKM14734","566","Human","HA","H1N1","India","T","2011/09/09","Influenza A virus (A/Bangalore/1808-53/2011(H1N1))","","","","","","c"
"AKM14735","566","Human","HA","H1N1","India","T","2011/09/23","Influenza A virus (A/Bangalore/1974-55/2011(H1N1))","","","","","","c"
"AKM14742","566","Human","HA","H1N1","India","T","2012/07/27","Influenza A virus (A/Bangalore/1980-42/2012(H1N1))","","","","","","c"
"AKM14743","566","Human","HA","H1N1","India","T","2012/07/30","Influenza A virus (A/Bangalore/2008-43/2012(H1N1))","","","","","","c"
"AKM14745","566","Human","HA","H1N1","India","T","2012/08/14","Influenza A virus (A/Bangalore/2285-44/2012(H1N1))","","","","","","c"
"AKM14736","566","Human","HA","H1N1","India","T","2011/11/17","Influenza A virus (A/Bangalore/2327-56/2011(H1N1))","","","","","","c"
"AKM14746","566","Human","HA","H1N1","India","T","2012/09/04","Influenza A virus (A/Bangalore/2629-37/2012(H1N1))","","","","","","c"
"AKM14749","566","Human","HA","H1N1","India","T","2012/10/20","Influenza A virus (A/Bangalore/3432-40/2012(H1N1))","","","","","","c"
"AKM14718","566","Human","HA","H1N1","India","T","2010/07/27","Influenza A virus (A/Bangalore/4080-23/2010(H1N1))","","","","","","c"
"AKM14720","566","Human","HA","H1N1","India","T","2010/07/28","Influenza A virus (A/Bangalore/4163-30/2010(H1N1))","","","","","","c"
"AKM14722","566","Human","HA","H1N1","India","T","2010/08/08","Influenza A virus (A/Bangalore/4976-17/2010(H1N1))","","","","","","c"
"AKM14723","566","Human","HA","H1N1","India","T","2010/08/09","Influenza A virus (A/Bangalore/4985-07/2010(H1N1))","","","","","","c"
"AKM14724","566","Human","HA","H1N1","India","T","2010/08/11","Influenza A virus (A/Bangalore/5274-20/2010(H1N1))","","","","","","c"
"AKM14726","566","Human","HA","H1N1","India","T","2010/08/13","Influenza A virus (A/Bangalore/5531-27/2010(H1N1))","","","","","","c"
"AKM14727","566","Human","HA","H1N1","India","T","2010/08/13","Influenza A virus (A/Bangalore/5532-05/2010(H1N1))","","","","","","c"
"AKM14729","566","Human","HA","H1N1","India","T","2010/08/14","Influenza A virus (A/Bangalore/5712-24/2010(H1N1))","","","","","","c"
"AKM14737","566","Human","HA","H1N1","India","T","2012/04/10","Influenza A virus (A/Bangalore/597-39/2012(H1N1))","","","","","","c"
"AKM14730","566","Human","HA","H1N1","India","T","2010/08/17","Influenza A virus (A/Bangalore/6106-16/2010(H1N1))","","","","","","c"
"AKM14738","566","Human","HA","H1N1","India","T","2012/04/12","Influenza A virus (A/Bangalore/697-32/2012(H1N1))","","","","","","c"
"AHM98778","566","Human","HA","H1N1","Thailand","T","2012/09/21","Influenza A virus (A/Bangkok/INS3_681/2012(H1N1))","","","","","","c"
"ADM13301","566","Human","HA","H1N1","Thailand","T","2010/02/25","Influenza A virus (A/Bangkok/INS425/2010(H1N1))","","","","","","c"
"ADM13311","566","Human","HA","H1N1","Thailand","T","2010/02/25","Influenza A virus (A/Bangkok/INS426/2010(H1N1))","","","","","","c"
"AEL89591","566","Human","HA","H1N1","Thailand","T","2010/08/11","Influenza A virus (A/Bangkok/INS477/2010(H1N1))","","","","","","c"
"AEL89601","566","Human","HA","H1N1","Thailand","T","2010/08/11","Influenza A virus (A/Bangkok/INS478/2010(H1N1))","","","","","","c"
"AEL89621","566","Human","HA","H1N1","Thailand","T","2010/08/11","Influenza A virus (A/Bangkok/INS480/2010(H1N1))","","","","","","c"
"AEL89651","566","Human","HA","H1N1","Thailand","T","2010/08/15","Influenza A virus (A/Bangkok/INS483/2010(H1N1))","","","","","","c"
"AEN55473","566","Human","HA","H1N1","Thailand","T","2010/08/18","Influenza A virus (A/Bangkok/INS487/2010(H1N1))","","","","","","c"
"AEL89671","566","Human","HA","H1N1","Thailand","T","2010/08/18","Influenza A virus (A/Bangkok/INS489/2010(H1N1))","","","","","","c"
"AEL89681","566","Human","HA","H1N1","Thailand","T","2010/08/20","Influenza A virus (A/Bangkok/INS491/2010(H1N1))","","","","","","c"
"AEL89741","566","Human","HA","H1N1","Thailand","T","2010/08/24","Influenza A virus (A/Bangkok/INS498/2010(H1N1))","","","","","","c"
"AEL89801","566","Human","HA","H1N1","Thailand","T","2010/08/26","Influenza A virus (A/Bangkok/INS505/2010(H1N1))","","","","","","c"
"AEL89812","566","Human","HA","H1N1","Thailand","T","2010/08/27","Influenza A virus (A/Bangkok/INS506/2010(H1N1))","","","","","","c"
"AEN55513","566","Human","HA","H1N1","Thailand","T","2010/08/27","Influenza A virus (A/Bangkok/INS508/2010(H1N1))","","","","","","c"
"AEL89842","566","Human","HA","H1N1","Thailand","T","2010/09/01","Influenza A virus (A/Bangkok/INS511/2010(H1N1))","","","","","","c"
"AEL95426","566","Human","HA","H1N1","Thailand","T","2010/09/01","Influenza A virus (A/Bangkok/INS513/2010(H1N1))","","","","","","c"
"AEO37540","566","Human","HA","H1N1","Thailand","T","2010/09/02","Influenza A virus (A/Bangkok/INS516/2010(H1N1))","","","","","","c"
"AEO72176","566","Human","HA","H1N1","Thailand","T","2010/09/22","Influenza A virus (A/Bangkok/INS520/2010(H1N1))","","","","","","c"
"AGB13430","566","Human","HA","H1N1","Thailand","T","2010/09/30","Influenza A virus (A/Bangkok/INS584/2010(H1N1))","","","","","","c"
"AIE52360","566","Human","HA","H1N1","Thailand","T","2010/08/08","Influenza A virus (A/Bangkok/SIMI502/2010(H1N1))","","","","","","c"
"AIE52361","566","Human","HA","H1N1","Thailand","T","2010/08/14","Influenza A virus (A/Bangkok/SIMI503/2010(H1N1))","","","","","","c"
"AIE52366","566","Human","HA","H1N1","Thailand","T","2010/03/23","Influenza A virus (A/Bangkok/SIMI508/2010(H1N1))","","","","","","c"
"ALA50342","566","Human","HA","H1N1","India","T","2015/03/01","Influenza A virus (A/Barwani/6024/2015(H1N1))","","","","","","c"
"ANH21800","566","Human","HA","H1N1","Turkey","N","2015/12/30","Influenza A virus (A/Bayburt/01/2015(H1N1))","","","","","","c"
"ADW95326","565","Human","HA","H1N1","China","N","2010/11","Influenza A virus (A/Beijing/3884/2010(H1N1))","","","","","","nc"
"AEC33226","566","Human","HA","H1N1","China","N","2011/01/14","Influenza A virus (A/Beijing/HZ01/2011(H1N1))","","","","","","c"
"ADM13351","566","Human","HA","H1N1","Germany","N","2010/02/05","Influenza A virus (A/Berlin/INS430/2010(H1N1))","","","","","","c"
"AKS48052","566","Human","HA","H1N1","India","T","2010/11/04","Influenza A virus (A/Bhopal/1544/2010(H1N1))","","","","","","c"
"AIU46629","566","Human","HA","H1N1","India","T","2011/04/19","Influenza A virus (A/Bhopal/1613/2011(H1N1))","","","","","","c"
"AKS48053","566","Human","HA","H1N1","India","T","2011/10/06","Influenza A virus (A/Bhopal/1664/2011(H1N1))","","","","","","c"
"ALD18975","566","Human","HA","H1N1","India","T","2015/01/28","Influenza A virus (A/Bhopal/3500/2015(H1N1))","","","","","","c"
"ADG42513","566","Human","HA","H1N1","Germany","N","2010/01/05","Influenza A virus (A/Bonn/INS178/2010(H1N1))","","","","","","c"
"AFD98270","566","Human","HA","H1N1","USA","N","2011/01/27","Influenza A virus (A/Boston/DOA21/2011(H1N1))","","","","","","c"
"AFD98280","566","Human","HA","H1N1","USA","N","2011/02/01","Influenza A virus (A/Boston/DOA22/2011(H1N1))","","","","","","c"
"AFF18496","566","Human","HA","H1N1","USA","N","2011/02/03","Influenza A virus (A/Boston/DOA26/2011(H1N1))","","","","","","c"
"AGE89277","566","Human","HA","H1N1","USA","N","2011/01/27","Influenza A virus (A/Boston/DOA28/2011(H1N1))","","","","","","c"
"AGE89298","566","Human","HA","H1N1","USA","N","2011/01/27","Influenza A virus (A/Boston/DOA30/2011(H1N1))","","","","","","c"
"AHL95296","566","Human","HA","H1N1","USA","N","2013/01/10","Influenza A virus (A/Boston/YGA_00037/2013(H1N1))","","","","","","c"
"AHL95878","566","Human","HA","H1N1","USA","N","2013/01/30","Influenza A virus (A/Boston/YGA_00087/2013(H1N1))","","","","","","c"
"AHL98105","566","Human","HA","H1N1","USA","N","2013/01/21","Influenza A virus (A/Boston/YGA_01185/2013(H1N1))","","","","","","c"
"AHL98471","566","Human","HA","H1N1","USA","N","2013/04/26","Influenza A virus (A/Boston/YGA_01220/2013(H1N1))","","","","","","c"
"AGW27020","566","Human","HA","H1N1","Canada","N","2012/02/21","Influenza A virus (A/British Columbia/012/2012(H1N1))","","","","","","c"
"AGW27022","566","Human","HA","H1N1","Canada","N","2012/03/16","Influenza A virus (A/British Columbia/017/2012(H1N1))","","","","","","c"
"AHA38489","566","Human","HA","H1N1","Canada","N","2013/01/08","Influenza A virus (A/British Columbia/030/2013(H1N1))","","","","","","c"
"AHA38491","566","Human","HA","H1N1","Canada","N","2013/01/21","Influenza A virus (A/British Columbia/032/2013(H1N1))","","","","","","c"
"AHA38492","566","Human","HA","H1N1","Canada","N","2013/01/21","Influenza A virus (A/British Columbia/033/2013(H1N1))","","","","","","c"
"AHA38497","566","Human","HA","H1N1","Canada","N","2013/01/30","Influenza A virus (A/British Columbia/038/2013(H1N1))","","","","","","c"
"AHA38500","566","Human","HA","H1N1","Canada","N","2013/03/04","Influenza A virus (A/British Columbia/041/2013(H1N1))","","","","","","c"
"AJY54086","566","Human","HA","H1N1","Canada","N","2014/01/14","Influenza A virus (A/British Columbia/11/2014(H1N1))","","","","","","c"
"AMP44843","566","Human","HA","H1N1","Canada","N","2016/01/18","Influenza A virus (A/British Columbia/11/2016(H1N1))","","","","","","c"
"AJY54104","566","Human","HA","H1N1","Canada","N","2014/01/15","Influenza A virus (A/British Columbia/15/2014(H1N1))","","","","","","c"
"AJY54106","566","Human","HA","H1N1","Canada","N","2014/02/06","Influenza A virus (A/British Columbia/28/2014(H1N1))","","","","","","c"
