Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
AEN68691.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,GenBank,complete,H5N1,8,,nuclear export protein,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-02-17,,"nuclear export protein, partial [Influenza A virus (A/Cambodia/V0219301/2011(H5N1))]"
AEN68692.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,GenBank,complete,H5N1,8,,nonstructural protein 1,Cambodia: Kampong Cham,Cambodia,,Homo sapiens,,2011-03-31,,nonstructural protein 1 [Influenza A virus (A/Cambodia/V0401301/2011(H5N1))]
AEN68693.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,GenBank,complete,H5N1,8,,nuclear export protein,Cambodia: Kampong Cham,Cambodia,,Homo sapiens,,2011-03-31,,"nuclear export protein, partial [Influenza A virus (A/Cambodia/V0401301/2011(H5N1))]"
AEN68694.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,GenBank,complete,H5N1,8,,nonstructural protein 1,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-04-16,,nonstructural protein 1 [Influenza A virus (A/Cambodia/V0417301/2011(H5N1))]
AEN68695.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,GenBank,complete,H5N1,8,,nuclear export protein,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-04-16,,"nuclear export protein, partial [Influenza A virus (A/Cambodia/V0417301/2011(H5N1))]"
AEN68696.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,GenBank,complete,H5N1,8,,nonstructural protein 1,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-06-06,,nonstructural protein 1 [Influenza A virus (A/Cambodia/V0606321/2011(H5N1))]
AEN68697.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,GenBank,complete,H5N1,8,,nuclear export protein,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-06-06,,"nuclear export protein, partial [Influenza A virus (A/Cambodia/V0606321/2011(H5N1))]"
AEN68742.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,GenBank,complete,H5N1,7,,matrix protein 1,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2010-04-17,,matrix protein 1 [Influenza A virus (A/Cambodia/U0417030/2010(H5N1))]
AEN68743.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,GenBank,complete,H5N1,7,,matrix protein 2,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2010-04-17,,matrix protein 2 [Influenza A virus (A/Cambodia/U0417030/2010(H5N1))]
AEN68744.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),243,GenBank,complete,H5N1,7,,matrix protein 1,Cambodia: Phnom Penh,Cambodia,,Homo sapiens,,2011-02-03,,"matrix protein 1, partial [Influenza A virus (A/Cambodia/V0203306/2011(H5N1))]"
AEN68745.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),88,GenBank,complete,H5N1,7,,matrix protein 2,Cambodia: Phnom Penh,Cambodia,,Homo sapiens,,2011-02-03,,"matrix protein 2, partial [Influenza A virus (A/Cambodia/V0203306/2011(H5N1))]"
AEN68746.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),243,GenBank,complete,H5N1,7,,matrix protein 1,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-02-17,,"matrix protein 1, partial [Influenza A virus (A/Cambodia/V0219301/2011(H5N1))]"
AEN68747.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),88,GenBank,complete,H5N1,7,,matrix protein 2,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-02-17,,"matrix protein 2, partial [Influenza A virus (A/Cambodia/V0219301/2011(H5N1))]"
AEN68748.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),243,GenBank,complete,H5N1,7,,matrix protein 1,Cambodia: Kampong Cham,Cambodia,,Homo sapiens,,2011-03-31,,"matrix protein 1, partial [Influenza A virus (A/Cambodia/V0401301/2011(H5N1))]"
AEN68749.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),88,GenBank,complete,H5N1,7,,matrix protein 2,Cambodia: Kampong Cham,Cambodia,,Homo sapiens,,2011-03-31,,"matrix protein 2, partial [Influenza A virus (A/Cambodia/V0401301/2011(H5N1))]"
AEN68750.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),243,GenBank,complete,H5N1,7,,matrix protein 1,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-04-16,,"matrix protein 1, partial [Influenza A virus (A/Cambodia/V0417301/2011(H5N1))]"
AEN68751.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),88,GenBank,complete,H5N1,7,,matrix protein 2,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-04-16,,"matrix protein 2, partial [Influenza A virus (A/Cambodia/V0417301/2011(H5N1))]"
AEN68752.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),242,GenBank,complete,H5N1,7,,matrix protein 1,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-06-06,,"matrix protein 1, partial [Influenza A virus (A/Cambodia/V0606311/2011(H5N1))]"
AEN68753.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),88,GenBank,complete,H5N1,7,,matrix protein 2,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-06-06,,"matrix protein 2, partial [Influenza A virus (A/Cambodia/V0606311/2011(H5N1))]"
AEN68793.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,GenBank,complete,H5N1,6,,neuraminidase,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2010-04-18,,neuraminidase [Influenza A virus (A/Cambodia/U0417030/2010(H5N1))]
AEN68794.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,GenBank,complete,H5N1,6,,neuraminidase,Cambodia: Phnom Penh,Cambodia,,Homo sapiens,,2011-02-03,,neuraminidase [Influenza A virus (A/Cambodia/V0203306/2011(H5N1))]
AEN68795.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,GenBank,complete,H5N1,6,,neuraminidase,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-02-17,,neuraminidase [Influenza A virus (A/Cambodia/V0219301/2011(H5N1))]
AEN68796.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,GenBank,complete,H5N1,6,,neuraminidase,Cambodia: Kampong Cham,Cambodia,,Homo sapiens,,2011-03-31,,neuraminidase [Influenza A virus (A/Cambodia/V0401301/2011(H5N1))]
AEN68797.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,GenBank,complete,H5N1,6,,neuraminidase,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-04-16,,neuraminidase [Influenza A virus (A/Cambodia/V0417301/2011(H5N1))]
AEN68798.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,GenBank,complete,H5N1,6,,neuraminidase,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-06-06,,neuraminidase [Influenza A virus (A/Cambodia/V0606321/2011(H5N1))]
AEN68865.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,GenBank,complete,H5N1,1,,polymerase PB2,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2010-04-18,,polymerase PB2 [Influenza A virus (A/Cambodia/U0417030/2010(H5N1))]
AEN68866.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,GenBank,complete,H5N1,1,,polymerase PB2,Cambodia: Phnom Penh,Cambodia,,Homo sapiens,,2011-02-03,,polymerase PB2 [Influenza A virus (A/Cambodia/V0203306/2011(H5N1))]
AEN68867.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,GenBank,complete,H5N1,1,,polymerase PB2,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-02-17,,polymerase PB2 [Influenza A virus (A/Cambodia/V0219301/2011(H5N1))]
AEN68868.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,GenBank,complete,H5N1,1,,polymerase PB2,Cambodia: Kampong Cham,Cambodia,,Homo sapiens,,2011-03-31,,polymerase PB2 [Influenza A virus (A/Cambodia/V0401301/2011(H5N1))]
AEN68869.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,GenBank,complete,H5N1,1,,polymerase PB2,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-04-16,,polymerase PB2 [Influenza A virus (A/Cambodia/V0417301/2011(H5N1))]
AEN68870.1,,"Buchy,P., Mardy,S.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,GenBank,complete,H5N1,1,,polymerase PB2,Cambodia: Prey Veng,Cambodia,,Homo sapiens,,2011-06-06,,polymerase PB2 [Influenza A virus (A/Cambodia/V0606311/2011(H5N1))]
AEN68917.1,,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Cambodia: Phnom Penh,Cambodia,,Homo sapiens,,2010-06-26,,hemagglutinin [Influenza A virus (A/Cambodia/U045/2010(H1N1))]
AEN68918.1,,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Cambodia: Kampong Thom,Cambodia,,Homo sapiens,,2010-01-04,,hemagglutinin [Influenza A virus (A/Cambodia/U094/2010(H1N1))]
AEN68919.1,,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Cambodia: Phnom Penh,Cambodia,,Homo sapiens,,2010-03-15,,hemagglutinin [Influenza A virus (A/Cambodia/U099/2010(H1N1))]
AEN68920.1,,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Cambodia: Kampong Cham,Cambodia,,Homo sapiens,,2010-02-24,,hemagglutinin [Influenza A virus (A/Cambodia/U127/2010(H1N1))]
AEN68921.1,,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Cambodia: Battam Bong,Cambodia,,Homo sapiens,,2010-03-16,,hemagglutinin [Influenza A virus (A/Cambodia/U132/2010(H1N1))]
AEN68922.1,,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Cambodia: Pailin,Cambodia,,Homo sapiens,,2010-02-09,,hemagglutinin [Influenza A virus (A/Cambodia/U216/2010(H1N1))]
AEN68923.1,,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Cambodia: Pailin,Cambodia,,Homo sapiens,,2010-02-11,,hemagglutinin [Influenza A virus (A/Cambodia/U219/2010(H1N1))]
AEN68924.1,,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Cambodia: Pailin,Cambodia,,Homo sapiens,,2010-02-16,,hemagglutinin [Influenza A virus (A/Cambodia/U221/2010(H1N1))]
AEN68925.1,,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Cambodia: Pailin,Cambodia,,Homo sapiens,,2010-02-24,,hemagglutinin [Influenza A virus (A/Cambodia/U223/2010(H1N1))]
AEN68926.1,,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Cambodia: Phnom Penh,Cambodia,,Homo sapiens,,2010-06-27,,hemagglutinin [Influenza A virus (A/Cambodia/U301/2010(H1N1))]
AEN68927.1,,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Cambodia: Phnom Penh,Cambodia,,Homo sapiens,,2010-06-27,,hemagglutinin [Influenza A virus (A/Cambodia/U302/2010(H1N1))]
AEN68928.1,,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Cambodia: Kampong Cham,Cambodia,,Homo sapiens,,2010-07-16,,hemagglutinin [Influenza A virus (A/Cambodia/U306/2010(H1N1))]
AEN68929.1,,"Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.",2011-11-01T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Cambodia: Siem Reap,Cambodia,,Homo sapiens,,2010-07-05,,hemagglutinin [Influenza A virus (A/Cambodia/U308/2010(H1N1))]
