Name,Sequence Accession,Complete Genome,Segment,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name,
HA,CY063003,Yes,4,1721,H1N1,01/04/2010,IRD:Human,Estonia,-N/A-,09-10,A/Tallinn/INS182/2010(H1N1),
HA,CY063011,Yes,4,1721,H1N1,01/07/2010,IRD:Human,Estonia,-N/A-,09-10,A/Tallinn/INS183/2010(H1N1),
HA,CY063840,Yes,4,1778,H1N1,02/26/2010,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/GP999/2010(H1N1),
HA,CY063195,Yes,4,1721,H1N1,01/27/2010,IRD:Human,USA,California,09-10,A/California/VRDL12/2010(H1N1),
HA,CY062987,Yes,4,1721,H1N1,01/05/2010,IRD:Human,Austria,-N/A-,09-10,A/Vienna/INS179/2010(H1N1),
HA,CY062106,Yes,4,1721,H1N1,01/20/2010,IRD:Human,USA,New York,09-10,A/New York/2372/2010(H1N1),
HA,CY062122,Yes,4,1721,H1N1,01/22/2010,IRD:Human,USA,New York,09-10,A/New York/2648/2010(H1N1),
HA,JQ396237,No,4,1776,H1N1,03/15/2011,IRD:Human,Kenya,-N/A-,-N/A-,A/Kenya/143/2011,
HA,JQ396228,No,4,1776,H1N1,03/31/2011,IRD:Human,Kenya,-N/A-,-N/A-,A/Kenya/129/2011,
HA,HQ228144,No,4,1704,H1N1,01/12/2010,IRD:Human,Finland,-N/A-,09-10,A/Finland/2/2010,
HA,CY063848,No,4,1778,H1N1,01/27/2010,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/KK066/2010(H1N1),
HA,KT274558,No,4,1701,H1N1,12/17/2013,IRD:Human,USA,Utah,13-14,A/Utah/31/2013,
HA,HQ228146,No,4,1704,H1N1,02/02/2010,IRD:Human,Finland,-N/A-,09-10,A/Finland/4/2010,
HA,KP317238,No,4,1701,H1N1,08/07/2010,IRD:Human,India,-N/A-,-N/A-,A/Goa/034/2010,
HA,KP317239,No,4,1701,H1N1,10/09/2010,IRD:Human,India,-N/A-,-N/A-,A/Goa/035/2010,
HA,KP317251,No,4,1701,H1N1,06/07/2011,IRD:Human,India,-N/A-,-N/A-,A/Goa/047/2011,
HA,KP317273,No,4,1701,H1N1,12/19/2012,IRD:Human,India,-N/A-,-N/A-,A/Delhi/069/2012,
HA,CY061123,Yes,4,1734,H1N1,01/09/2010,IRD:Human,USA,Texas,09-10,A/Texas/JMS405/2010(H1N1),
HA,CY066447,Yes,4,1734,H1N1,01/09/2010,IRD:Human,USA,California,09-10,A/California/VRDL1/2010(H1N1),
HA,CY067193,No,4,1750,H1N1,04/2010,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/SS004/2010(H1N1),
HA,CY163461,No,4,1701,H1N1,09/05/2013,IRD:Human,USA,Washington,-N/A-,A/Washington/3473/2013,
HA,CY163463,No,4,1701,H1N1,09/03/2013,IRD:Human,USA,Texas,-N/A-,A/Texas/3475/2013,
HA,CY071303,Yes,4,1734,H1N1,01/25/2010,IRD:Human,Greece,-N/A-,09-10,A/Athens/INS419/2010(H1N1),
HA,CY071951,No,4,1701,H1N1,01/2010,IRD:Human,Egypt,-N/A-,-N/A-,A/Egypt/N00164/2010(H1N1),
HA,CY071335,Yes,4,1734,H1N1,02/25/2010,IRD:Human,Thailand,-N/A-,-N/A-,A/Bangkok/INS425/2010(H1N1),
HA,CY071960,No,4,1701,H1N1,01/2010,IRD:Human,Egypt,-N/A-,-N/A-,A/Egypt/N00281/2010(H1N1),
HA,CY072077,No,4,1701,H1N1,03/13/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Alagoas/143/2010(H1N1),
HA,CY072089,No,4,1701,H1N1,03/04/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Rio de Janeiro/88/2010(H1N1),
HA,CY071954,No,4,1701,H1N1,01/2010,IRD:Human,Egypt,-N/A-,-N/A-,A/Egypt/N00238/2010(H1N1),
HA,CY071953,No,4,1701,H1N1,01/2010,IRD:Human,Egypt,-N/A-,-N/A-,A/Egypt/N00236/2010(H1N1),
HA,CY071948,No,4,1701,H1N1,01/2010,IRD:Human,Egypt,-N/A-,-N/A-,A/Egypt/N00126/2010(H1N1),
HA,KF280719,Yes,4,1701,H1N1,02/10/2012,IRD:Human,India,-N/A-,-N/A-,A/India/P12946/2012(H1N1),
HA,KF280743,Yes,4,1701,H1N1,02/15/2013,IRD:Human,India,-N/A-,-N/A-,A/India/P131845/2013(H1N1),
HA,AB745246,No,4,1744,H1N1,01/2010,IRD:Human,Japan,-N/A-,09-10,A/Tottori/ST462/2010,
HA,AB745247,No,4,1744,H1N1,01/2010,IRD:Human,Japan,-N/A-,09-10,A/Tottori/ST469/2010,
HA,AB745252,No,4,1744,H1N1,01/2010,IRD:Human,Japan,-N/A-,09-10,A/Tottori/ST482/2010,
HA,AB745267,No,4,1744,H1N1,01/2011,IRD:Human,Japan,-N/A-,10-11,A/Tottori/KK002/2011,
HA,AB745280,No,4,1744,H1N1,12/2010,IRD:Human,Japan,-N/A-,10-11,A/Tottori/ST513/2010,
HA,AB745293,No,4,1744,H1N1,01/2011,IRD:Human,Japan,-N/A-,10-11,A/Tottori/ST537/2011,
HA,AB745291,No,4,1744,H1N1,01/2011,IRD:Human,Japan,-N/A-,10-11,A/Tottori/ST528/2011,
HA,AB745297,No,4,1744,H1N1,01/2011,IRD:Human,Japan,-N/A-,10-11,A/Tottori/ST553/2011,
HA,CY072526,Yes,4,1734,H1N1,01/07/2010,IRD:Human,Estonia,-N/A-,09-10,A/Tallinn/INS374/2010(H1N1),
HA,CY071295,Yes,4,1734,H1N1,01/18/2010,IRD:Human,Greece,-N/A-,09-10,A/Athens/INS417/2010(H1N1),
HA,CY072081,No,4,1701,H1N1,03/31/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Alagoas/266/2010(H1N1),
HA,CY072082,No,4,1701,H1N1,03/02/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Alagoas/96/2010(H1N1),
HA,CY072075,No,4,1701,H1N1,03/10/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Alagoas/119/2010(H1N1),
HA,CY072087,No,4,1701,H1N1,04/01/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Bahia/231/2010(H1N1),
HA,CY071343,Yes,4,1734,H1N1,02/25/2010,IRD:Human,Thailand,-N/A-,-N/A-,A/Bangkok/INS426/2010(H1N1),
HA,CY071375,Yes,4,1734,H1N1,02/05/2010,IRD:Human,Germany,-N/A-,09-10,A/Berlin/INS430/2010(H1N1),
HA,CY071055,Yes,4,1734,H1N1,01/05/2010,IRD:Human,Austria,-N/A-,09-10,A/Vienna/INS368/2010(H1N1),
HA,CY072080,No,4,1701,H1N1,03/26/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Alagoas/201/2010(H1N1),
HA,CY073126,No,4,1701,H1N1,01/25/2010,IRD:Human,Mexico,-N/A-,-N/A-,A/Mexico City/WRAIR1773T/2010(H1N1),
HA,CY071263,Yes,4,1734,H1N1,01/30/2010,IRD:Human,Greece,-N/A-,09-10,A/Athens/INS411/2010(H1N1),
HA,CY072084,No,4,1701,H1N1,03/19/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Bahia/160/2010(H1N1),
HA,CY071159,Yes,4,1734,H1N1,01/11/2010,IRD:Human,Greece,-N/A-,09-10,A/Athens/INS394/2010(H1N1),
HA,CY073733,Yes,4,1734,H1N1,02/05/2010,IRD:Human,Estonia,-N/A-,09-10,A/Tallinn/INS431/2010(H1N1),
HA,CY088809,Yes,4,1701,H1N1,08/31/2010,IRD:Human,Thailand,-N/A-,-N/A-,A/Thailand/CU-H2283/2010(H1N1),
HA,CY067633,No,4,1701,H1N1,01/2010,IRD:Human,China,-N/A-,-N/A-,A/Qingdao/70/2010,
HA,CY067634,No,4,1701,H1N1,01/2010,IRD:Human,China,-N/A-,-N/A-,A/Qingdao/94/2010,
HA,CY067631,No,4,1701,H1N1,01/2010,IRD:Human,China,-N/A-,-N/A-,A/Qingdao/63/2010,
HA,HQ419004,No,4,1701,H1N1,02/2010,IRD:Human,Iran,-N/A-,-N/A-,A/Shiraz/1/2010(H1N1),
HA,HQ419007,No,4,1701,H1N1,02/2010,IRD:Human,Iran,-N/A-,-N/A-,A/Shiraz/4/2010(H1N1),
HA,HQ419011,No,4,1701,H1N1,02/2010,IRD:Human,Iran,-N/A-,-N/A-,A/Shiraz/8/2010(H1N1),
HA,HQ419001,No,4,1777,H1N1,2010,IRD:Human,Iran,-N/A-,-N/A-,A/Tehran/18/2010(H1N1),
HA,CY061139,Yes,4,1734,H1N1,01/11/2010,IRD:Human,USA,Texas,09-10,A/Texas/JMS407/2010(H1N1),
HA,CY061163,Yes,4,1721,H1N1,01/22/2010,IRD:Human,USA,Texas,09-10,A/Texas/JMS410/2010(H1N1),
HA,CY061187,Yes,4,1734,H1N1,02/03/2010,IRD:Human,USA,Texas,09-10,A/Texas/JMS413/2010(H1N1),
HA,KX005114,Yes,4,1752,H1N1,10/08/2015,IRD:Human,USA,Delaware,15-16,A/Delaware/42/2015,
HA,KP144964,No,4,1701,H1N1,03/28/2013,IRD:Human,China,-N/A-,-N/A-,A/Jiangsubeitang/SWL1144/2013,
HA,KP144966,No,4,1701,H1N1,07/18/2013,IRD:Human,China,-N/A-,-N/A-,A/Jiangsugusu/SWL1824/2013,
HA,KP144970,No,4,1701,H1N1,03/18/2013,IRD:Human,China,-N/A-,-N/A-,A/Jiangsunanchang/SWL1100/2013,
HA,KP144967,No,4,1701,H1N1,03/21/2013,IRD:Human,China,-N/A-,-N/A-,A/Jiangsugaoyou/SWL1141/2013,
HA,JQ365012,No,4,1701,H1N1,03/2010,IRD:Human,China,-N/A-,-N/A-,A/Hangzhou/156/2010,
HA,JQ365022,No,4,1701,H1N1,01/10/2011,IRD:Human,China,-N/A-,-N/A-,A/Hangzhou/B13/2011,
HA,JQ365009,No,4,1701,H1N1,02/2010,IRD:Human,China,-N/A-,-N/A-,A/Hangzhou/125/2010,
HA,KF559374,Yes,4,1752,H1N1,01/09/2013,IRD:Human,Finland,-N/A-,12-13,A/Helsinki/77/2013,
HA,HQ834746,Yes,4,1744,H1N1,10/13/2010,IRD:Human,Russia,-N/A-,10-11,A/Moscow/IIV-33/2010,
HA,HQ712173,No,4,1701,H1N1,12/06/2010,IRD:Human,Iran,-N/A-,-N/A-,A/Karaj/5327/2010,
HA,HQ853300,No,4,1701,H1N1,12/13/2010,IRD:Human,Iran,-N/A-,-N/A-,A/Karaj/5660/2010,
HA,CY080420,Yes,4,1701,H1N1,01/11/2011,IRD:Human,Mongolia,-N/A-,10-11,A/Ulaanbaatar/190/2011,
HA,KT274522,No,4,1701,H1N1,12/04/2013,IRD:Human,USA,Florida,13-14,A/Florida/78/2013,
HA,CY061155,Yes,4,1721,H1N1,01/20/2010,IRD:Human,USA,Texas,09-10,A/Texas/JMS409/2010(H1N1),
HA,KP317280,No,4,1701,H1N1,06/11/2012,IRD:Human,India,-N/A-,-N/A-,A/Haryana/076/2012,
HA,KP317283,No,4,1701,H1N1,01/02/2013,IRD:Human,India,-N/A-,-N/A-,A/Haryana/079/2013,
HA,HQ712172,No,4,1701,H1N1,10/02/2010,IRD:Human,Iran,-N/A-,-N/A-,A/Bandar Abbas/5096/2010,
HA,HQ712175,No,4,1701,H1N1,12/06/2010,IRD:Human,Iran,-N/A-,-N/A-,A/Shahriar/5336/2010,
HA,JQ396232,No,4,1776,H1N1,07/04/2011,IRD:Human,Kenya,-N/A-,-N/A-,A/Kenya/134/2011,
HA,KT274554,No,4,1701,H1N1,12/02/2013,IRD:Human,USA,Kentucky,13-14,A/Kentucky/12/2013,
HA,CY091601,No,4,1745,H1N1,02/07/2011,IRD:Human,Russia,-N/A-,10-11,A/Saint-Petersburg/RII45/2011,
HA,CY091605,No,4,1744,H1N1,02/09/2011,IRD:Human,Russia,-N/A-,10-11,A/Voronezh/RII1/2011,
HA,CY091613,No,4,1744,H1N1,02/21/2011,IRD:Human,Russia,-N/A-,10-11,A/Saint-Petersburg/RII166/2011,
HA,CY091670,No,4,1777,H1N1,12/10/2010,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/GP4565/2010,
HA,CY091706,No,4,1758,H1N1,02/22/2011,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/KK124/2011,
HA,CY091712,No,4,1727,H1N1,02/14/2011,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/TT134/2011,
HA,CY091714,No,4,1758,H1N1,02/21/2011,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/TT142/2011,
HA,CY083032,Yes,4,1701,H1N1,01/26/2010,IRD:Human,Senegal,-N/A-,-N/A-,A/Dakar/WRAIR0019T/2010,
HA,CY080331,Yes,4,1701,H1N1,03/29/2010,IRD:Human,Thailand,-N/A-,-N/A-,A/Thailand/H1818/2010,
HA,CY080315,Yes,4,1701,H1N1,01/18/2010,IRD:Human,Thailand,-N/A-,-N/A-,A/Thailand/H1255/2010,
HA,CY091686,No,4,1777,H1N1,01/07/2011,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/GP39/2011,
HA,CY092446,Yes,4,1734,H1N1,04/26/2010,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/DD3-03/2010(H1N1),
HA,CY091700,Yes,4,1777,H1N1,03/02/2011,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/GP730/2011,
HA,CY091724,No,4,1777,H1N1,01/25/2011,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/TT89/2011,
HA,CY091702,Yes,4,1777,H1N1,02/11/2011,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/KK105/2011,
HA,CY091708,No,4,1776,H1N1,01/25/2011,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/KK68/2011,
HA,CY091720,Yes,4,1777,H1N1,01/03/2011,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/TT5/2011,
HA,CY091692,No,4,1754,H1N1,02/11/2011,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/GP511/2011,
HA,CY092534,Yes,4,1734,H1N1,09/12/2010,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/DD3-15/2010,
HA,CY080590,No,4,1743,H1N1,01/07/2011,IRD:Human,Tunisia,-N/A-,-N/A-,A/Tunisia/422/2011,
HA,HQ891281,Yes,4,1744,H1N1,12/03/2010,IRD:Human,Russia,-N/A-,10-11,A/Vladivistok/7/2010(H1N1),
HA,CY081580,No,4,1773,H1N1,11/2010,IRD:Human,China,-N/A-,-N/A-,A/Beijing/3872/2010,
HA,CY120948,No,4,1777,H1N1,02/22/2011,IRD:Human,China,-N/A-,-N/A-,A/Guangdong/50/2011,
HA,CY120940,No,4,1777,H1N1,02/28/2011,IRD:Human,China,-N/A-,-N/A-,A/Guangdong/39/2011,
HA,KT924261,No,4,1700,H1N1,11/20/2014,IRD:Human,Iran,-N/A-,-N/A-,A/Iran/18/2014,
HA,KT924260,No,4,1700,H1N1,11/15/2014,IRD:Human,Iran,-N/A-,-N/A-,A/Iran/12/2014,
HA,JF719758,No,4,1701,H1N1,12/19/2010,IRD:Human,China,-N/A-,-N/A-,A/Fuzhou/02/2010,
HA,CY089391,No,4,1777,H1N1,03/23/2011,IRD:Human,Mexico,-N/A-,-N/A-,A/Mexico/InDRE1947/2011,
HA,CY081061,Yes,4,1744,H1N1,10/13/2010,IRD:Human,Canada,-N/A-,10-11,A/Ontario/130741/2010,
HA,CY092401,Yes,4,1734,H1N1,09/14/2010,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/DD3-46/2010,
HA,CY092622,Yes,4,1734,H1N1,10/10/2010,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/DD3-35/2010,
HA,CY092976,Yes,4,1758,H1N1,07/26/2010,IRD:Human,Chile,-N/A-,-N/A-,A/Chile/28/2010,
HA,CY092518,Yes,4,1734,H1N1,08/30/2010,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/DD3-13/2010,
HA,CY092662,Yes,4,1734,H1N1,08/26/2010,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/DD3-41/2010,
HA,CY092566,Yes,4,1734,H1N1,09/13/2010,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/DD3-19/2010,
HA,CY092454,Yes,4,1734,H1N1,07/13/2010,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/DD3-04/2010(H1N1),
HA,CY092686,Yes,4,1734,H1N1,09/14/2010,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/DD3-45/2010,
HA,CY092590,Yes,4,1734,H1N1,10/12/2010,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/DD3-26/2010,
HA,CY092718,Yes,4,1734,H1N1,10/05/2010,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/DD3-52/2010,
HA,JQ693694,Yes,4,1701,H1N1,03/07/2011,IRD:Human,Taiwan,-N/A-,-N/A-,A/Taiwan/4709/2011,
HA,JF340083,No,4,1777,H1N1,01/25/2010,IRD:Human,Russia,-N/A-,09-10,A/St.Petersburg/14/2010,
HA,CY092872,Yes,4,1734,H1N1,01/26/2011,IRD:Human,USA,Illinois,10-11,A/Illinois/NHRC0001/2011,
HA,CY093133,Yes,4,1734,H1N1,07/23/2010,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/DD3-11/2010,
HA,CY092848,Yes,4,1734,H1N1,10/03/2010,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/DD3-57/2010,
HA,HM752477,No,4,1752,H1N1,01/11/2010,IRD:Human,Thailand,-N/A-,-N/A-,A/Thailand/CU-MV10/2010,
HA,CY093000,Yes,4,1734,H1N1,07/28/2010,IRD:Human,Chile,-N/A-,-N/A-,A/Chile/37/2010,
HA,CY092864,Yes,4,1734,H1N1,01/18/2011,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/DD3-59/2011,
HA,CY093141,Yes,4,1734,H1N1,08/03/2010,IRD:Human,Australia,-N/A-,-N/A-,A/Sydney/DD3-20/2010,
HA,JN129269,Yes,4,1744,H1N1,01/22/2011,IRD:Human,Russia,-N/A-,10-11,A/Moscow/IIV-83/2011(H1N1),
HA,JN120761,No,4,1754,H1N1,03/2011,IRD:Human,Russia,-N/A-,10-11,A/Novosibirsk/01/2011,
HA,HM752475,No,4,1735,H1N1,01/22/2010,IRD:Human,Thailand,-N/A-,-N/A-,A/Thailand/CU-MV8/2010,
HA,JN588788,No,4,1701,H1N1,06/26/2010,IRD:Human,Cambodia,-N/A-,-N/A-,A/Cambodia/U045/2010,
HA,CY096537,Yes,4,1734,H1N1,09/13/2010,IRD:Human,Thailand,-N/A-,-N/A-,A/Bangkok/INS519/2010(H1N1),
HA,HM601436,No,4,1701,H1N1,01/29/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Goias/16651/2010,
HA,CY096202,Yes,4,1734,H1N1,08/17/2010,IRD:Human,Australia,-N/A-,-N/A-,A/North Fitzroy/INS464/2010(H1N1),
HA,HM624014,No,4,1701,H1N1,03/25/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Piaui/21394/2010,
HA,CY096506,Yes,4,1734,H1N1,09/01/2010,IRD:Human,Thailand,-N/A-,-N/A-,A/Bangkok/INS513/2010(H1N1),
HA,CY096458,Yes,4,1734,H1N1,08/26/2010,IRD:Human,Thailand,-N/A-,-N/A-,A/Bangkok/INS505/2010(H1N1),
HA,CY096338,Yes,4,1734,H1N1,08/15/2010,IRD:Human,Thailand,-N/A-,-N/A-,A/Bangkok/INS483/2010(H1N1),
HA,JX309603,No,4,1758,H1N1,06/15/2010,IRD:Human,Singapore,-N/A-,-N/A-,A/Singapore/KK415/2010,
HA,CY075916,No,4,1744,H1N1,02/24/2010,IRD:Human,India,-N/A-,-N/A-,A/Awb/NIV25611/2010,
HA,JN601079,No,4,1701,H1N1,12/03/2010,IRD:Human,Finland,-N/A-,10-11,A/Finland/9/2010,
HA,CY075912,No,4,1744,H1N1,01/13/2010,IRD:Human,India,-N/A-,-N/A-,A/Ngp/NIV22704/2010(H1N1),
HA,JN601104,No,4,1701,H1N1,12/14/2010,IRD:Human,Finland,-N/A-,10-11,A/Finland/43/2010,
HA,JN601106,No,4,1701,H1N1,12/13/2010,IRD:Human,Finland,-N/A-,10-11,A/Finland/45/2010,
HA,JN603276,No,4,1761,H1N1,07/04/2010,IRD:Human,Philippines,-N/A-,-N/A-,A/Philippines/TMC10-41/2010,
HA,JN381284,No,4,1701,H1N1,10/2010,IRD:Human,Taiwan,-N/A-,-N/A-,A/Taiwan/71326/2010,
HA,JX046926,Yes,4,1701,H1N1,02/18/2012,IRD:Human,Russia,-N/A-,11-12,A/Moscow/IIV-45/2012,
HA,CY075917,No,4,1768,H1N1,03/04/2010,IRD:Human,India,-N/A-,-N/A-,A/Hnl/NIV26271/2010,
HA,CY098154,Yes,4,1734,H1N1,08/27/2010,IRD:Human,Thailand,-N/A-,-N/A-,A/Bangkok/INS508/2010(H1N1),
HA,JN601105,No,4,1701,H1N1,12/13/2010,IRD:Human,Finland,-N/A-,10-11,A/Finland/44/2010,
HA,HQ595298,No,4,1701,H1N1,06/19/2010,IRD:Human,Brazil,-N/A-,-N/A-,A/Sao Paulo/54987/2010,
