accession,length,date,name,
JQ065237,1701,2010/01/14,A/Shenzhen/50/2010,
JQ065232,1701,2010/01/14,A/Shenzhen/8/2010,
JQ065236,1701,2010/01/14,A/Shenzhen/37/2010,
JQ065234,1701,2010/01/14,A/Shenzhen/27/2010,
CY072534,1734,2010/01/14,A/New York/INS432/2010(H1N1),
CY103938,1701,2010/01/14,A/Pernambuco/732/2010,
JQ065238,1701,2010/01/14,A/Shenzhen/57/2010,
JX120566,1806,2010/01/14,A/Anhui/1225/2010,
KM213271,1777,2010/01/14,A/Oman/SQUH-38/2010,
CY071143,1734,2010/01/14,A/Athens/INS390/2010(H1N1),
JX309017,1777,2010/01/15,A/Singapore/GP256/2010,
CY061326,1701,2010/01/15,A/Argentina/HNRG102/2010,
KC782005,1701,2010/01/16,A/Connecticut/01/2010,
KC780365,1701,2010/01/17,A/Pennsylvania/01/2010,
AB551881,1701,2010/01/18,A/Nagasaki/HA-10-12/2010(H1N1),
CY071295,1734,2010/01/18,A/Athens/INS417/2010(H1N1),
CY080315,1701,2010/01/18,A/Thailand/H1255/2010,
CY100522,1777,2010/01/18,A/Mexico City/INER9/2010,
CY129499,1752,2010/01/18,A/Wurzburg/INS578/2010,
KC780569,1701,2010/01/18,A/Georgia/03/2010,
HM752473,1737,2010/01/18,A/Thailand/CU-MV6/2010,
AB551878,1701,2010/01/18,A/Nagasaki/HA-10-9/2010(H1N1),
AB551879,1701,2010/01/18,A/Nagasaki/HA-10-10/2010(H1N1),
AB551882,1701,2010/01/18,A/Nagasaki/HA-10-13/2010(H1N1),
CY062090,1720,2010/01/18,A/New York/1999/2010(H1N1),
CY062098,1721,2010/01/19,A/New York/2175/2010(H1N1),
CY167772,1734,2010/01/19,A/Tennessee/F1035/2010,
AB551883,1701,2010/01/20,A/Nagasaki/HA-10-69/2010(H1N1),
CY062106,1721,2010/01/20,A/New York/2372/2010(H1N1),
CY061155,1721,2010/01/20,A/Texas/JMS409/2010(H1N1),
KC780334,1701,2010/01/20,A/North Carolina/03/2010,
JX309025,1763,2010/01/21,A/Singapore/GP368/2010,
KF849774,1701,2010/01/21,A/Thailand/SirirajICRC_SEA-002(33)/2010,
KF849776,1701,2010/01/21,A/Thailand/SirirajICRC_SEA-001(34)/2010,
KP019839,1701,2010/01/21,A/FuZhou/SWL1223/2010,
HM752474,1729,2010/01/21,A/Thailand/CU-MV7/2010,
KC780583,1701,2010/01/21,A/Virginia/01/2010,
CY062122,1721,2010/01/22,A/New York/2648/2010(H1N1),
CY061163,1721,2010/01/22,A/Texas/JMS410/2010(H1N1),
HM752475,1735,2010/01/22,A/Thailand/CU-MV8/2010,
CY062146,1734,2010/01/22,A/New York/2963/2010(H1N1),
KC780353,1701,2010/01/23,A/Alabama/02/2010,
KC780442,1701,2010/01/24,A/Georgia/02/2010,
KC780464,1701,2010/01/24,A/Wisconsin/01/2010,
CY071183,1734,2010/01/24,A/Athens/INS398/2010(H1N1),
CY062162,1734,2010/01/25,A/New York/3230/2010(H1N1),
CY071303,1734,2010/01/25,A/Athens/INS419/2010(H1N1),
CY073126,1701,2010/01/25,A/Mexico City/WRAIR1773T/2010(H1N1),
JF340083,1777,2010/01/25,A/St.Petersburg/14/2010,
KC780426,1701,2010/01/25,A/Kentucky/02/2010,
CY061171,1721,2010/01/25,A/Texas/JMS411/2010(H1N1),
CY083032,1701,2010/01/26,A/Dakar/WRAIR0019T/2010,
CY062138,1734,2010/01/26,A/New York/2960/2010(H1N1),
CY062186,1734,2010/01/26,A/New York/3251/2010(H1N1),
CY083535,1701,2010/01/26,A/Mexico City/WRAIR1752N/2010(H1N1),
KC780871,1701,2010/01/26,A/California/03/2010,
JX309049,1760,2010/01/26,A/Singapore/GP449/2010(H1N1),
CY065027,1733,2010/01/27,A/New York/3835/2010(H1N1),
CY065019,1734,2010/01/27,A/New York/3834/2010(H1N1),
CY063195,1721,2010/01/27,A/California/VRDL12/2010(H1N1),
CY063848,1778,2010/01/27,A/Singapore/KK066/2010(H1N1),
KC780661,1701,2010/01/27,A/South Carolina/01/2010,
KP019840,1701,2010/01/27,A/FuZhou/SWL1286/2010,
CY071311,1734,2010/01/27,A/Athens/INS420/2010(H1N1),
CY092638,1734,2010/01/27,A/Sydney/DD3-37/2010,
JX309065,1777,2010/01/27,A/Singapore/GP489/2010(H1N1),
KP317224,1701,2010/01/28,A/Assam/020/2010,
KF849777,1701,2010/01/28,A/Thailand/SirirajICRC_SEA-003(33)/2010,
HM601436,1701,2010/01/29,A/Goias/16651/2010,
KF860846,1701,2010/01/29,A/Extremadura/6530/2010,
CY071263,1734,2010/01/30,A/Athens/INS411/2010(H1N1),
KT181157,1701,2010/01/31,A/Singapore/DMS74/2010,
CY066487,1734,2010/02/01,A/California/VRDL7/2010(H1N1),
KC780315,1701,2010/02/01,A/Massachusetts/01/2010,
CY064987,1734,2010/02/02,A/California/VRDL6/2010(H1N1),
HQ228146,1704,2010/02/02,A/Finland/4/2010,
KC781411,1701,2010/02/02,A/Georgia/09/2010,
KC780389,1701,2010/02/02,A/North Carolina/04/2010,
KF849773,1701,2010/02/02,A/Thailand/SirirajICRC_SEA-002(34)/2010,
KP019841,1701,2010/02/02,A/FuZhou/SWL1338/2010,
KT181166,1701,2010/02/02,A/Singapore/DMS82/2010,
CY061187,1734,2010/02/03,A/Texas/JMS413/2010(H1N1),
KC781452,1701,2010/02/03,A/Louisiana/01/2010,
KC780695,1701,2010/02/03,A/Indiana/03/2010,
CY065051,1734,2010/02/03,A/New York/4662/2010(H1N1),
CY065043,1734,2010/02/04,A/New York/4294/2010(H1N1),
CY061195,1734,2010/02/04,A/Texas/JMS414/2010(H1N1),
CY107453,1701,2010/02/04,A/Scotland/Dundee_10V070791/2010,
LN846494,1701,2010/02/04,A/England/01220736/2010,
KC782022,1701,2010/02/04,A/Vermont/01/2010,
CY167324,1754,2010/02/04,A/Tennessee/F1042A/2010,
CY071375,1734,2010/02/05,A/Berlin/INS430/2010(H1N1),
CY073733,1734,2010/02/05,A/Tallinn/INS431/2010(H1N1),
JX309178,1749,2010/02/05,A/Singapore/GP643/2010,
KC781255,1701,2010/02/05,A/Georgia/06/2010,
CY071279,1734,2010/02/05,A/Athens/INS413/2010(H1N1),
KF849775,1701,2010/02/05,A/Thailand/SirirajICRC_SEA-003(34)/2010,
KC781284,1701,2010/02/06,A/Georgia/07/2010,
KR030166,1701,2010/02/06,A/Guangdong/501/2010,
KP317229,1701,2010/02/07,A/Chattisgarh/025/2010,
KP637286,1701,2010/02/07,A/Thailand/IY07115/2010,
KC781181,1701,2010/02/08,A/Wyoming/01/2010,
KC780586,1701,2010/02/08,A/Maryland/04/2010,
AB558539,1701,2010/02/08,A/Nagasaki/HA-10-17/2010(H1N1),
JX309167,1777,2010/02/08,A/Singapore/TT106/2010,
KC780724,1701,2010/02/08,A/Hawaii/03/2010,
JN588793,1701,2010/02/09,A/Cambodia/U216/2010,
CY100538,1777,2010/02/09,A/Mexico City/INER11/2010,
KT241014,1734,2010/02/09,A/Indore/379/2010,
CY100530,1777,2010/02/09,A/Mexico City/INER10/2010,
KC780453,1701,2010/02/09,A/New York/03/2010,
CY167332,1761,2010/02/09,A/Tennessee/F1052A/2010,
KC261320,1725,2010/02/09,A/Mexico City/INERPHAC3/2010(H1N1),
KC780502,1701,2010/02/10,A/Utah/02/2010,
KT181162,1701,2010/02/10,A/Singapore/DMS78/2010,
JX309205,1777,2010/02/10,A/Singapore/GP690/2010,
KP019842,1701,2010/02/10,A/FuZhou/SWL1395/2010,
KC780350,1701,2010/02/11,A/Delaware/02/2010,
JX309208,1777,2010/02/12,A/Singapore/KK80/2010,
CY063853,1755,2010/02/12,A/Singapore/KK081/2010(H1N1),
CY063835,1740,2010/02/12,A/Singapore/GP737/2010(H1N1),
KJ856114,1701,2010/02/12,A/Sri Lanka/20887/2010,
CY066495,1734,2010/02/13,A/California/VRDL8/2010(H1N1),
CY097789,1701,2010/02/16,A/Dakar/WRAIR0020T/2010,
CY083040,1701,2010/02/16,A/Dakar/WRAIR0020T/2010,
KC782004,1701,2010/02/17,A/Minnesota/02/2010,
JX309184,1777,2010/02/17,A/Singapore/KK87/2010,
KC780525,1701,2010/02/17,A/Wisconsin/02/2010,
CY072088,1701,2010/02/18,A/Rio de Janeiro/491/2010(H1N1),
CY167348,1701,2010/02/18,A/Tennessee/F1060/2010,
KP637862,1701,2010/02/18,A/Thailand/SS08248/2010,
CY167340,1734,2010/02/18,A/Tennessee/F1057c56/2010,
KC780069,1701,2010/02/19,A/New Hampshire/02/2010,
KC781197,1701,2010/02/19,A/Kentucky/03/2010,
LN867349,1701,2010/02/20,A/England/01220741/2010,
CY065059,1739,2010/02/21,A/New York/6530/2010(H1N1),
AB558542,1701,2010/02/22,A/Nagasaki/HA-10-20/2010(H1N1),
KC781163,1701,2010/02/22,A/Kentucky/04/2010,
KC781368,1701,2010/02/22,A/Wisconsin/04/2010,
CY096594,1734,2010/02/23,A/District of Columbia/INS527/2010(H1N1),
CY075916,1744,2010/02/24,A/Awb/NIV25611/2010,
JN588791,1701,2010/02/24,A/Cambodia/U127/2010,
CY129694,1752,2010/02/24,A/Athens/INS555/2010,
KC780361,1701,2010/02/24,A/North Carolina/05/2010,
JN588796,1701,2010/02/24,A/Cambodia/U223/2010,
CY071335,1734,2010/02/25,A/Bangkok/INS425/2010(H1N1),
CY071343,1734,2010/02/25,A/Bangkok/INS426/2010(H1N1),
KC781915,1701,2010/02/25,A/New York/04/2010,
KP019843,1701,2010/02/25,A/FuZhou/SWL1494/2010,
CY063840,1778,2010/02/26,A/Singapore/GP999/2010(H1N1),
CY167356,1734,2010/02/26,A/Tennessee/F1063A/2010,
CY065107,1734,2010/03/01,A/New York/7480/2010(H1N1),
AB558544,1701,2010/03/01,A/Nagasaki/HA-10-22/2010(H1N1),
JX309259,1777,2010/03/01,A/Singapore/EN39/2010,
KC781169,1701,2010/03/01,A/Alabama/03/2010,
KT181167,1701,2010/03/01,A/Singapore/DMS83/2010,
CY072082,1701,2010/03/02,A/Alagoas/96/2010(H1N1),
KC781911,1701,2010/03/02,A/Massachusetts/02/2010,
HM124383,1744,2010/03/02,A/Orenburg/IIV-13/2010(H1N1),
HM569740,1744,2010/03/02,A/Orenburg/IIV-13/2010(H1N1),
CY167388,1754,2010/03/02,A/Tennessee/F1071/2010,
KC781355,1701,2010/03/03,A/Iowa/04/2010,
CY072089,1701,2010/03/04,A/Rio de Janeiro/88/2010(H1N1),
CY075917,1768,2010/03/04,A/Hnl/NIV26271/2010,
KC780738,1701,2010/03/04,A/California/05/2010,
CY072074,1701,2010/03/05,A/Alagoas/115/2010(H1N1),
CY103939,1701,2010/03/06,A/Pernambuco/744/2010,
JF929781,1701,2010/03/07,A/Guangdong/2989/2010,
KC780726,1701,2010/03/07,A/New Mexico/03/2010,
AB558546,1701,2010/03/08,A/Nagasaki/HA-10-25/2010(H1N1),
KC781863,1701,2010/03/08,A/Mississippi/02/2010,
KC781406,1701,2010/03/08,A/Utah/03/2010,
KC780587,1701,2010/03/08,A/Hawaii/04/2010,
KM203131,1701,2010/03/09,A/Kerala/RGCBC699/2010,
KM203132,1701,2010/03/09,A/Kerala/RGCBC700/2010,
CY075918,1744,2010/03/09,A/Pune/NIV26410/2010,
CY072075,1701,2010/03/10,A/Alagoas/119/2010(H1N1),
KP019846,1701,2010/03/10,A/FuZhou/SWL1563/2010,
JX309274,1764,2010/03/12,A/Singapore/GP903/2010,
KC781158,1701,2010/03/12,A/Tennessee/02/2010,
KC781335,1701,2010/03/12,A/Minnesota/03/2010,
KC781210,1701,2010/03/12,A/Wisconsin/03/2010,
CY072077,1701,2010/03/13,A/Alagoas/143/2010(H1N1),
AB558547,1701,2010/03/15,A/Nagasaki/HA-10-26/2010(H1N1),
KC781175,1701,2010/03/15,A/Alabama/04/2010,
CY167412,1724,2010/03/15,A/Tennessee/F1074/2010,
CY167436,1754,2010/03/16,A/Tennessee/F1078/2010,
KT181173,1701,2010/03/16,A/Singapore/DMS88/2010,
KC781142,1701,2010/03/16,A/Florida/05/2010,
LN850125,1701,2010/03/18,A/England/11/2010,
LN846590,1701,2010/03/18,A/England/00380718/2010,
LN850102,1701,2010/03/18,A/England/WTSI1807/2010,
LN867676,1701,2010/03/18,A/England/WTSI2067/2010,
LN867397,1701,2010/03/18,A/England/WTSI1783/2010,
LN846510,1701,2010/03/18,A/England/01180016/2010,
KC781275,1701,2010/03/18,A/Florida/04/2010,
KC781432,1701,2010/03/18,A/Florida/04/2010,
LN846534,1701,2010/03/18,A/England/00380719/2010,
LN850421,1701,2010/03/18,A/England/01180007/2010,
CY072084,1701,2010/03/19,A/Bahia/160/2010(H1N1),
CY167428,1754,2010/03/19,A/Tennessee/F1076A/2010,
CY072085,1701,2010/03/19,A/Bahia/161/2010(H1N1),
CY089371,1734,2010/03/19,A/Managua/5708.01/2010(H1N1),
KT181174,1701,2010/03/20,A/Singapore/DMS89/2010,
MK159116,1776,2010/03/20,A/Germany/2688/2010,
CY096602,1734,2010/03/21,A/Cambridge/INS528/2010(H1N1),
KC782128,1701,2010/03/22,A/Minnesota/04/2010,
CY090837,1752,2010/03/23,A/Managua/0305_10/2010(H1N1),
KM013732,1701,2010/03/23,A/Bangkok/SIMI508/2010,
KT181175,1701,2010/03/23,A/Singapore/DMS90/2010,
AB558549,1701,2010/03/23,A/Nagasaki/HA-10-28/2010(H1N1),
CY089379,1734,2010/03/25,A/Managua/3246.01/2010(H1N1),
HM624014,1701,2010/03/25,A/Piaui/21394/2010,
KC261321,1725,2010/03/25,A/Mexico City/INERPHAC4/2010(H1N1),
CY072080,1701,2010/03/26,A/Alagoas/201/2010(H1N1),
JX309214,1777,2010/03/26,A/Singapore/GP1003/2010,
CY079530,1701,2010/03/26,A/Parana/914/2010,
HQ595290,1701,2010/03/27,A/Sao Paulo/22205/2010,
AB558550,1701,2010/03/29,A/Nagasaki/HA-10-30/2010(H1N1),
CY080331,1701,2010/03/29,A/Thailand/H1818/2010,
KC780911,1701,2010/03/29,A/Oregon/01/2010,
KT181179,1701,2010/03/29,A/Singapore/DMS92/2010,
KC780257,1701,2010/03/30,A/Hawaii/05/2010,
HQ595291,1701,2010/03/31,A/Piaui/23931/2010,
CY072081,1701,2010/03/31,A/Alagoas/266/2010(H1N1),
KC781118,1701,2010/03/31,A/Maryland/05/2010,
CY080339,1701,2010/03/31,A/Thailand/CU-H1821/2010(H1N1),
CY072087,1701,2010/04/01,A/Bahia/231/2010(H1N1),
JX309389,1777,2010/04/01,A/Singapore/TT134/2010,
JX875056,1701,2010/04/01,A/Kentucky/180/2010,
CY099332,1701,2010/04/01,A/Kentucky/180/2010,
KT181180,1701,2010/04/01,A/Singapore/DMS93/2010,
KC781296,1701,2010/04/02,A/Washington/01/2010,
KC780163,1701,2010/04/03,A/Arizona/04/2010,
KC782118,1701,2010/04/04,A/Montana/01/2010,
KC782123,1701,2010/04/04,A/Montana/01/2010,
KC781221,1701,2010/04/05,A/Connecticut/02/2010,
MN244309,1777,2010/04/05,A/Guangdong/1057/2010,
KC780145,1701,2010/04/05,A/California/06/2010,
JX309353,1777,2010/04/05,A/Singapore/GP1078/2010,
JX309359,1760,2010/04/06,A/Singapore/GP1112/2010,
KC781204,1701,2010/04/06,A/Kentucky/06/2010,
JX309313,1777,2010/04/09,A/Singapore/GP1191/2010,
CY120938,1777,2010/04/11,A/Guangdong/379/2010,
JF929782,1701,2010/04/12,A/Guangdong/4220/2010,
JX309296,1753,2010/04/12,A/Singapore/KK136/2010(H1N1),
KC782250,1701,2010/04/12,A/Hawaii/08/2010,
KP637470,1701,2010/04/12,A/Thailand/PY08090/2010,
JX309315,1777,2010/04/13,A/Singapore/GP1270/2010,
JX309317,1777,2010/04/14,A/Singapore/GP1286/2010,
CY103940,1701,2010/04/15,A/Pernambuco/768/2010,
JX875013,1701,2010/04/15,A/Kentucky/190/2010,
KT181187,1701,2010/04/19,A/Singapore/DMS98/2010,
CY079531,1701,2010/04/19,A/Parana/927/2010,
JX309321,1777,2010/04/21,A/Singapore/GP1454/2010,
KC781151,1701,2010/04/21,A/Wyoming/02/2010,
CY120929,1777,2010/04/22,A/Guangdong/195/2010,
JX309323,1777,2010/04/23,A/Singapore/GP1545/2010,
KC780214,1701,2010/04/23,A/California/07/2010,
KC780166,1701,2010/04/24,A/California/08/2010,
CY092446,1734,2010/04/26,A/Sydney/DD3-03/2010(H1N1),
JX309286,1750,2010/04/26,A/Singapore/TT150/2010,
KT180982,1701,2010/04/26,A/Singapore/DMS100/2010,
JF929745,1701,2010/04/28,A/Guangdong/202/2010,
JX309325,1777,2010/04/28,A/Singapore/GP1684/2010,
AB601605,1701,2010/04/28,A/Yamagata/143/2010,
KT180985,1701,2010/05/03,A/Singapore/DMS103/2010,
HQ595292,1701,2010/05/03,A/Sao Paulo/29269/2010,
KC781340,1701,2010/05/04,A/Iowa/05/2010,
KC780101,1701,2010/05/04,A/Hawaii/07/2010,
JN187138,1701,2010/05/05,A/Taiwan/1164/2010,
JX309430,1743,2010/05/05,A/Singapore/SS09/2010,
KT180986,1701,2010/05/06,A/Singapore/DMS104/2010,
JF929783,1701,2010/05/10,A/Guangdong/5303/2010,
JX309467,1777,2010/05/10,A/Singapore/GP2065/2010,
KC780324,1701,2010/05/11,A/Arizona/05/2010,
KC782239,1701,2010/05/11,A/California/09/2010,
CY092944,1734,2010/05/11,A/Chile/6/2010,
JX309438,1777,2010/05/14,A/Singapore/CC02/2010,
JX309461,1777,2010/05/19,A/Singapore/GP2432/2010,
HQ595293,1701,2010/05/21,A/Sao Paulo/45221/2010,
JX309488,1777,2010/05/24,A/Singapore/KK315/2010,
JX309476,1777,2010/05/24,A/Singapore/TT255/2010,
KT180990,1701,2010/05/24,A/Singapore/DMS110/2010,
KC780274,1701,2010/05/24,A/Nevada/02/2010,
JX309471,1760,2010/05/26,A/Singapore/GP2638/2010,
KT180992,1701,2010/05/28,A/Singapore/DMS112/2010,
KC782232,1701,2010/05/29,A/Arizona/06/2010,
KC780149,1701,2010/06/01,A/Texas/03/2010,
JX309551,1777,2010/06/02,A/Singapore/GP2830/2010,
JX309522,1777,2010/06/03,A/Singapore/SS35/2010,
JX309542,1777,2010/06/03,A/Singapore/EN103/2010,
JX309553,1771,2010/06/03,A/Singapore/GP2864/2010,
KT180995,1701,2010/06/05,A/Singapore/DMS115/2010,
KT181004,1701,2010/06/07,A/Singapore/DMS116/2010,
JX309607,1777,2010/06/07,A/Singapore/KK376/2010,
JX309513,1777,2010/06/09,A/Singapore/TT340/2010,
JX309509,1756,2010/06/11,A/Singapore/TT344/2010,
KC882067,1701,2010/06/11,A/Indiana/05/2010,
HQ595295,1701,2010/06/14,A/Sao Paulo/52863/2010,
JX309603,1758,2010/06/15,A/Singapore/KK415/2010,
MK080174,1701,2010/06/16,A/Kerala/RGCB_C996/2010,
MK080173,1701,2010/06/16,A/Kerala/RGCB_C990/2010,
MK080175,1701,2010/06/16,A/Kerala/RGCB_C998/2010,
HQ595296,1701,2010/06/17,A/Sao Paulo/52897/2010,
JN600357,1701,2010/06/17,A/Assam/2590/2010,
JX309562,1777,2010/06/18,A/Singapore/EN107/2010,
HQ595297,1701,2010/06/18,A/Sao Paulo/53511/2010,
HQ595298,1701,2010/06/19,A/Sao Paulo/54987/2010,
KP317227,1701,2010/06/19,A/Kerala/023/2010,
JF929784,1701,2010/06/20,A/Guangdong/7232/2010,
KT181036,1701,2010/06/20,A/Singapore/DMS121/2010,
JX309599,1777,2010/06/22,A/Singapore/KK441/2010,
CY092952,1734,2010/06/22,A/Chile/15/2010,
JX309582,1777,2010/06/24,A/Singapore/KK444/2010,
JF929749,1701,2010/06/25,A/Guangdong/312/2010,
JN588788,1701,2010/06/26,A/Cambodia/U045/2010,
JN588798,1701,2010/06/27,A/Cambodia/U302/2010,
HQ595299,1701,2010/07/01,A/Sao Paulo/57029/2010,
JN603276,1761,2010/07/04,A/Philippines/TMC10-41/2010,
JX309715,1761,2010/07/05,A/Singapore/SS39/2010,
JX309723,1743,2010/07/05,A/Singapore/SS41/2010,
JX309711,1743,2010/07/05,A/Singapore/SS38/2010,
JN588800,1701,2010/07/05,A/Cambodia/U308/2010,
JX309719,1742,2010/07/05,A/Singapore/SS40/2010,
KJ690392,1778,2010/07/06,A/Uganda/MUWRP-176/2010,
JX309623,1715,2010/07/06,A/Singapore/GP3395/2010,
JQ065239,1701,2010/07/08,A/Shenzhen/627/2010,
JQ065240,1701,2010/07/08,A/Shenzhen/970/2010,
JQ065242,1701,2010/07/08,A/Shenzhen/1088/2010,
JX309630,1743,2010/07/09,A/Singapore/GP3442/2010,
KC781195,1701,2010/07/09,A/California/11/2010,
JX309619,1715,2010/07/12,A/Singapore/SS42/2010,
CY093072,1734,2010/07/12,A/Khon Kaen/INS456/2010,
CY092454,1734,2010/07/13,A/Sydney/DD3-04/2010(H1N1),
JX309638,1743,2010/07/13,A/Singapore/GP3481/2010,
KT181068,1701,2010/07/13,A/Singapore/DMS127/2010,
KC782161,1701,2010/07/14,A/California/12/2010,
KT181069,1701,2010/07/15,A/Singapore/DMS128/2010,
JF929785,1701,2010/07/18,A/Guangdong/8450/2010,
JX309687,1748,2010/07/19,A/Singapore/KK499/2010,
JX309621,1744,2010/07/19,A/Singapore/SS43/2010,
JX309650,1746,2010/07/19,A/Singapore/GP3563/2010,
JX309699,1777,2010/07/19,A/Singapore/TT418/2010,
CY092502,1734,2010/07/21,A/Sydney/DD3-10/2010(H1N1),
JF929748,1701,2010/07/22,A/Guangdong/302/2010,
CY093133,1734,2010/07/23,A/Sydney/DD3-11/2010,
JX309703,1777,2010/07/23,A/Singapore/TT421/2010,
CY092976,1758,2010/07/26,A/Chile/28/2010,
KT181072,1701,2010/07/26,A/Singapore/DMS131/2010,
KC781416,1701,2010/07/27,A/Michigan/06/2010,
JX309666,1741,2010/07/27,A/Singapore/GP3667/2010,
CY093000,1734,2010/07/28,A/Chile/37/2010,
KC473854,1701,2010/07/28,A/Guangzhou/GIRD74/2010,
KR861667,1701,2010/07/28,A/Bangalore/4163-30/2010,
JF929747,1701,2010/07/29,A/Guangdong/296/2010,
KC882026,1701,2010/07/29,A/Indiana/06/2010,
CY120930,1777,2010/07/29,A/Guangdong/296/2010,
JX309707,1777,2010/07/30,A/Singapore/TT428/2010,
KC781278,1701,2010/08/02,A/Florida/13/2010,
CY093141,1734,2010/08/03,A/Sydney/DD3-20/2010,
KC781247,1701,2010/08/05,A/Florida/14/2010,
JF929750,1701,2010/08/06,A/Guangdong/321/2010,
KP317238,1701,2010/08/07,A/Goa/034/2010,
JX625638,1701,2010/08/07,A/England/03220137/2010,
KP765780,1781,2010/08/08,A/NanChang/08/2010,
KR861669,1701,2010/08/08,A/Bangalore/4976-17/2010,
KM885029,1701,2010/08/09,A/Jabalpur/543/2010,
KR861670,1701,2010/08/09,A/Bangalore/4985-07/2010,
CY093008,1734,2010/08/09,A/Chile/54/2010,
CY093016,1734,2010/08/09,A/Chile/52/2010,
KC781281,1701,2010/08/10,A/Wisconsin/08/2010,
JF929753,1701,2010/08/11,A/Guangdong/371/2010,
KR861671,1701,2010/08/11,A/Bangalore/5274-20/2010,
CY093157,1734,2010/08/11,A/Chile/61/2010,
KC781877,1701,2010/08/11,A/Mississippi/04/2010,
