accession,segment,length,date,name
AB745280,4,1744,Dec-10,A/Tottori/ST513/2010
AB745293,4,1744,Jan-11,A/Tottori/ST537/2011
AB745291,4,1744,Jan-11,A/Tottori/ST528/2011
AB745297,4,1744,Jan-11,A/Tottori/ST553/2011
CY072526,4,1734,1/7/2010,A/Tallinn/INS374/2010(H1N1)
CY071295,4,1734,1/18/2010,A/Athens/INS417/2010(H1N1)
CY072081,4,1701,3/31/2010,A/Alagoas/266/2010(H1N1)
CY072082,4,1701,3/2/2010,A/Alagoas/96/2010(H1N1)
CY072075,4,1701,3/10/2010,A/Alagoas/119/2010(H1N1)
CY072087,4,1701,4/1/2010,A/Bahia/231/2010(H1N1)
CY071343,4,1734,2/25/2010,A/Bangkok/INS426/2010(H1N1)
CY071375,4,1734,2/5/2010,A/Berlin/INS430/2010(H1N1)
CY071055,4,1734,1/5/2010,A/Vienna/INS368/2010(H1N1)
CY072080,4,1701,3/26/2010,A/Alagoas/201/2010(H1N1)
CY073126,4,1701,1/25/2010,A/Mexico City/WRAIR1773T/2010(H1N1)
CY071263,4,1734,1/30/2010,A/Athens/INS411/2010(H1N1)
CY072084,4,1701,3/19/2010,A/Bahia/160/2010(H1N1)
CY071159,4,1734,1/11/2010,A/Athens/INS394/2010(H1N1)
CY073733,4,1734,2/5/2010,A/Tallinn/INS431/2010(H1N1)
CY088809,4,1701,8/31/2010,A/Thailand/CU-H2283/2010(H1N1)
CY067633,4,1701,Jan-10,A/Qingdao/70/2010
CY067634,4,1701,Jan-10,A/Qingdao/94/2010
CY067631,4,1701,Jan-10,A/Qingdao/63/2010
HQ419004,4,1701,Feb-10,A/Shiraz/1/2010(H1N1)
HQ419007,4,1701,Feb-10,A/Shiraz/4/2010(H1N1)
HQ419011,4,1701,Feb-10,A/Shiraz/8/2010(H1N1)
HQ419001,4,1777,2010,A/Tehran/18/2010(H1N1)
CY061139,4,1734,1/11/2010,A/Texas/JMS407/2010(H1N1)
CY061163,4,1721,1/22/2010,A/Texas/JMS410/2010(H1N1)
CY061187,4,1734,2/3/2010,A/Texas/JMS413/2010(H1N1)
KX005114,4,1752,10/8/2015,A/Delaware/42/2015
KP144964,4,1701,3/28/2013,A/Jiangsubeitang/SWL1144/2013
KP144966,4,1701,7/18/2013,A/Jiangsugusu/SWL1824/2013
KP144970,4,1701,3/18/2013,A/Jiangsunanchang/SWL1100/2013
KP144967,4,1701,3/21/2013,A/Jiangsugaoyou/SWL1141/2013
JQ365012,4,1701,Mar-10,A/Hangzhou/156/2010
JQ365022,4,1701,1/10/2011,A/Hangzhou/B13/2011
JQ365009,4,1701,Feb-10,A/Hangzhou/125/2010
KF559374,4,1752,1/9/2013,A/Helsinki/77/2013
HQ834746,4,1744,10/13/2010,A/Moscow/IIV-33/2010
HQ712173,4,1701,12/6/2010,A/Karaj/5327/2010
HQ853300,4,1701,12/13/2010,A/Karaj/5660/2010
CY080420,4,1701,1/11/2011,A/Ulaanbaatar/190/2011
KT274522,4,1701,12/4/2013,A/Florida/78/2013
CY061155,4,1721,1/20/2010,A/Texas/JMS409/2010(H1N1)
KP317280,4,1701,6/11/2012,A/Haryana/076/2012
KP317283,4,1701,1/2/2013,A/Haryana/079/2013
HQ712172,4,1701,10/2/2010,A/Bandar Abbas/5096/2010
HQ712175,4,1701,12/6/2010,A/Shahriar/5336/2010
JQ396232,4,1776,7/4/2011,A/Kenya/134/2011
KT274554,4,1701,12/2/2013,A/Kentucky/12/2013
CY091601,4,1745,2/7/2011,A/Saint-Petersburg/RII45/2011
CY091605,4,1744,2/9/2011,A/Voronezh/RII1/2011
CY091613,4,1744,2/21/2011,A/Saint-Petersburg/RII166/2011
CY091670,4,1777,12/10/2010,A/Singapore/GP4565/2010
CY091706,4,1758,2/22/2011,A/Singapore/KK124/2011
CY091712,4,1727,2/14/2011,A/Singapore/TT134/2011
CY091714,4,1758,2/21/2011,A/Singapore/TT142/2011
CY083032,4,1701,1/26/2010,A/Dakar/WRAIR0019T/2010
CY080331,4,1701,3/29/2010,A/Thailand/H1818/2010
CY080315,4,1701,1/18/2010,A/Thailand/H1255/2010
CY091686,4,1777,1/7/2011,A/Singapore/GP39/2011
CY092446,4,1734,4/26/2010,A/Sydney/DD3-03/2010(H1N1)
CY091700,4,1777,3/2/2011,A/Singapore/GP730/2011
CY091724,4,1777,1/25/2011,A/Singapore/TT89/2011
CY091702,4,1777,2/11/2011,A/Singapore/KK105/2011
CY091708,4,1776,1/25/2011,A/Singapore/KK68/2011
CY091720,4,1777,1/3/2011,A/Singapore/TT5/2011
CY091692,4,1754,2/11/2011,A/Singapore/GP511/2011
CY092534,4,1734,9/12/2010,A/Sydney/DD3-15/2010
CY080590,4,1743,1/7/2011,A/Tunisia/422/2011
HQ891281,4,1744,12/3/2010,A/Vladivistok/7/2010(H1N1)
CY081580,4,1773,Nov-10,A/Beijing/3872/2010
CY120948,4,1777,2/22/2011,A/Guangdong/50/2011
CY120940,4,1777,2/28/2011,A/Guangdong/39/2011
KT924261,4,1700,11/20/2014,A/Iran/18/2014
KT924260,4,1700,11/15/2014,A/Iran/12/2014
JF719758,4,1701,12/19/2010,A/Fuzhou/02/2010
CY089391,4,1777,3/23/2011,A/Mexico/InDRE1947/2011
CY081061,4,1744,10/13/2010,A/Ontario/130741/2010
CY092401,4,1734,9/14/2010,A/Sydney/DD3-46/2010
CY092622,4,1734,10/10/2010,A/Sydney/DD3-35/2010
CY092976,4,1758,7/26/2010,A/Chile/28/2010
CY092518,4,1734,8/30/2010,A/Sydney/DD3-13/2010
CY092662,4,1734,8/26/2010,A/Sydney/DD3-41/2010
CY092566,4,1734,9/13/2010,A/Sydney/DD3-19/2010
CY092454,4,1734,7/13/2010,A/Sydney/DD3-04/2010(H1N1)
CY092686,4,1734,9/14/2010,A/Sydney/DD3-45/2010
CY092590,4,1734,10/12/2010,A/Sydney/DD3-26/2010
CY092718,4,1734,10/5/2010,A/Sydney/DD3-52/2010
JQ693694,4,1701,3/7/2011,A/Taiwan/4709/2011
JF340083,4,1777,1/25/2010,A/St.Petersburg/14/2010
CY092872,4,1734,1/26/2011,A/Illinois/NHRC0001/2011
CY093133,4,1734,7/23/2010,A/Sydney/DD3-11/2010
CY092848,4,1734,10/3/2010,A/Sydney/DD3-57/2010
HM752477,4,1752,1/11/2010,A/Thailand/CU-MV10/2010
CY093000,4,1734,7/28/2010,A/Chile/37/2010
CY092864,4,1734,1/18/2011,A/Sydney/DD3-59/2011
CY093141,4,1734,8/3/2010,A/Sydney/DD3-20/2010
JN129269,4,1744,1/22/2011,A/Moscow/IIV-83/2011(H1N1)
JN120761,4,1754,Mar-11,A/Novosibirsk/01/2011
HM752475,4,1735,1/22/2010,A/Thailand/CU-MV8/2010
JN588788,4,1701,6/26/2010,A/Cambodia/U045/2010
CY096537,4,1734,9/13/2010,A/Bangkok/INS519/2010(H1N1)
HM601436,4,1701,1/29/2010,A/Goias/16651/2010
CY096202,4,1734,8/17/2010,A/North Fitzroy/INS464/2010(H1N1)
HM624014,4,1701,3/25/2010,A/Piaui/21394/2010
CY096506,4,1734,9/1/2010,A/Bangkok/INS513/2010(H1N1)
CY096458,4,1734,8/26/2010,A/Bangkok/INS505/2010(H1N1)
CY096338,4,1734,8/15/2010,A/Bangkok/INS483/2010(H1N1)
JX309603,4,1758,6/15/2010,A/Singapore/KK415/2010
CY075916,4,1744,2/24/2010,A/Awb/NIV25611/2010
JN601079,4,1701,12/3/2010,A/Finland/9/2010
CY075912,4,1744,1/13/2010,A/Ngp/NIV22704/2010(H1N1)
JN601104,4,1701,12/14/2010,A/Finland/43/2010
JN601106,4,1701,12/13/2010,A/Finland/45/2010
JN603276,4,1761,7/4/2010,A/Philippines/TMC10-41/2010
JN381284,4,1701,Oct-10,A/Taiwan/71326/2010
JX046926,4,1701,2/18/2012,A/Moscow/IIV-45/2012
CY075917,4,1768,3/4/2010,A/Hnl/NIV26271/2010
CY098154,4,1734,8/27/2010,A/Bangkok/INS508/2010(H1N1)
JN601105,4,1701,12/13/2010,A/Finland/44/2010
HQ595298,4,1701,6/19/2010,A/Sao Paulo/54987/2010
JN601088,4,1701,12/9/2010,A/Finland/19/2010
HQ595299,4,1701,7/1/2010,A/Sao Paulo/57029/2010
KJ406379,4,1745,12/5/2013,A/Ontario/50/2013
HQ595296,4,1701,6/17/2010,A/Sao Paulo/52897/2010
CY080265,4,1701,1/2/2010,A/Shantou/8064/2010
CY110745,4,1745,1/19/2012,A/Mexico/InDRE689/2012
JN588791,4,1701,2/24/2010,A/Cambodia/U127/2010
JN588793,4,1701,2/9/2010,A/Cambodia/U216/2010
KC261321,4,1725,3/25/2010,A/Mexico City/INERPHAC4/2010(H1N1)
KF648274,4,1701,11/13/2012,A/South Carolina/20/2012
KF648010,4,1701,11/24/2012,A/New Hampshire/20/2012
KF647933,4,1701,10/18/2012,A/Texas/90/2012
KF648221,4,1701,5/24/2013,A/Wisconsin/09/2013
KF648198,4,1701,3/9/2013,A/California/19/2013
KF648230,4,1701,5/12/2013,A/Utah/06/2013
KF647905,4,1701,5/8/2013,A/New York/07/2013
KF647966,4,1701,3/3/2013,A/Texas/10/2013
KF647949,4,1701,6/19/2013,A/Florida/16/2013
CY080255,4,1701,1/5/2010,A/Shantou/8028/2010
CY099997,4,1701,6/2/2011,A/Rio Grande do Sul/278/2011
CY092417,4,1734,1/25/2011,A/Missouri/NHRC0001/2011(H1N1)
KF648021,4,1701,7/6/2013,A/Connecticut/02/2013
KF648147,4,1701,1/2/2013,A/Georgia/01/2013
KF648250,4,1701,2/8/2013,A/Kentucky/02/2013
KF648170,4,1701,8/13/2013,A/Indiana/22/2013
KF648172,4,1701,8/15/2013,A/Texas/15/2013
KF648178,4,1701,1/5/2013,A/Texas/07/2013
KF647925,4,1701,12/4/2012,A/Wyoming/23/2012
KF647941,4,1701,11/8/2012,A/Maryland/37/2012
KF648027,4,1701,4/10/2013,A/New Mexico/10/2013
JQ065237,4,1701,1/14/2010,A/Shenzhen/50/2010
JQ396219,4,1776,4/12/2011,A/Kenya/118/2011
JQ396244,4,1777,7/5/2011,A/Kenya/151/2011
JQ396226,4,1775,3/17/2011,A/Kenya/127/2011
JQ396236,4,1776,3/1/2011,A/Kenya/139/2011
CY111262,4,1734,2/1/2011,A/Boston/DOA22/2011(H1N1)
JQ396230,4,1742,7/8/2011,A/Kenya/131/2011
JQ396234,4,1742,5/12/2011,A/Kenya/137/2011
JQ624640,4,1721,9/9/2010,A/Sydney/SB1/2010
JF929752,4,1701,8/30/2010,A/Guangdong/370/2010
CY097948,4,1701,12/23/2010,A/Amman/WRAIR3448N/2010
CY097860,4,1701,1/1/2011,A/District of Columbia/WRAIR0313/2011(H1N1)
CY097980,4,1701,1/18/2011,A/Budapest/WRAIR3789T/2011
CY097845,4,1701,8/27/2010,A/District of Columbia/WRAIR0310/2010(H1N1)
JF929744,4,1701,1/13/2011,A/Guangdong/sz2/2011
CY103940,4,1701,4/15/2010,A/Pernambuco/768/2010
CY103939,4,1701,3/6/2010,A/Pernambuco/744/2010
JQ348837,4,1701,12/1/2011,A/Wisconsin/28/2011
JQ796823,4,1701,Jan-11,A/Zhejiang/NB143/2011
KF647964,4,1701,3/1/2013,A/Minnesota/02/2013
JQ365016,4,1701,1/7/2011,A/Hangzhou/A10/2011
JQ365008,4,1701,Feb-10,A/Hangzhou/124/2010
JQ365014,4,1701,Mar-10,A/Hangzhou/178/2010
JQ365019,4,1701,1/28/2011,A/Hangzhou/A50/2011
LC270875,4,1701,Feb-16,A/Tokyo/NCCHD6/2016
JX309321,4,1777,4/21/2010,A/Singapore/GP1454/2010
CY081101,4,1744,12/14/2010,A/Ontario/804635/2010(H1N1)
JX309214,4,1777,3/26/2010,A/Singapore/GP1003/2010
JX309832,4,1777,10/11/2010,A/Singapore/EN193/2010
JF929747,4,1701,7/29/2010,A/Guangdong/296/2010
JN187144,4,1701,1/17/2011,A/Taiwan/2649/2011
JN187141,4,1701,12/20/2010,A/Taiwan/842/2010
JN187143,4,1701,1/8/2011,A/Taiwan/1018/2011
JN187148,4,1701,1/19/2011,A/Taiwan/1102/2011
JN187153,4,1701,2/8/2011,A/Taiwan/4611/2011
JN187138,4,1701,5/5/2010,A/Taiwan/1164/2010
JN187151,4,1701,2/1/2011,A/Taiwan/2883/2011
JN187147,4,1701,1/18/2011,A/Taiwan/552/2011
JN187146,4,1701,1/17/2011,A/Taiwan/67/2011
JQ365013,4,1701,Mar-10,A/Hangzhou/157/2010
JQ365005,4,1701,Jan-10,A/Hangzhou/111/2010
JQ365018,4,1701,1/25/2011,A/Hangzhou/A44/2011
CY111294,4,1734,2/15/2011,A/Boston/DOA44/2011(H1N1)
JF929759,4,1701,8/13/2010,A/Guangdong/436/2010
JF929760,4,1701,10/8/2010,A/Guangdong/438/2010
CY097821,4,1701,12/24/2010,A/District of Columbia/WRAIR0307/2010
CY110865,4,1701,1/14/2011,A/Jeonnam/362/2011
JF293315,4,1701,9/9/2010,A/India/GWL_DSC/2010
CY097964,4,1701,12/22/2010,A/Mexico City/WRAIR3569N/2010
JF929779,4,1701,2/22/2011,A/Guangdong/067/2011
JF929776,4,1701,3/1/2011,A/Guangdong/048/2011
JF929753,4,1701,8/11/2010,A/Guangdong/371/2010
JF929748,4,1701,7/22/2010,A/Guangdong/302/2010
JF929751,4,1701,8/24/2010,A/Guangdong/353/2010
JF929745,4,1701,4/28/2010,A/Guangdong/202/2010
JF929749,4,1701,6/25/2010,A/Guangdong/312/2010
JF929772,4,1701,1/18/2011,A/Guangdong/032/2011
JF929783,4,1701,5/10/2010,A/Guangdong/5303/2010
JF929781,4,1701,3/7/2010,A/Guangdong/2989/2010
JF929786,4,1701,8/16/2010,A/Guangdong/9458/2010
CY103841,4,1701,3/11/2011,A/Novosibirsk/89d/2011
CY097916,4,1701,1/14/2011,A/Moscow/WRAIR1965P/2011
JF929778,4,1701,2/21/2011,A/Guangdong/052/2011
JF929782,4,1701,4/12/2010,A/Guangdong/4220/2010
CY097924,4,1701,1/14/2011,A/Moscow/WRAIR1966P/2011
CY098052,4,1701,1/31/2011,A/Moscow/WRAIR4316N/2011
JF929784,4,1701,6/20/2010,A/Guangdong/7232/2010
CY120024,4,1701,Jan-10,A/Mexico/InDRECTRLA/2010
CY081085,4,1744,11/23/2010,A/Ontario/741328/2010(H1N1)
JX309488,4,1777,5/24/2010,A/Singapore/KK315/2010
LC270877,4,1701,Feb-16,A/Tokyo/NCCHD4/2016
LC270878,4,1701,Feb-16,A/Tokyo/NCCHD2/2016
CY120927,4,1777,5/25/2011,A/Guangdong/147/2011
CY120938,4,1777,4/11/2010,A/Guangdong/379/2010
JX309562,4,1777,6/18/2010,A/Singapore/EN107/2010
JX308957,4,1777,1/5/2010,A/Singapore/GP33/2010
JX309296,4,1753,4/12/2010,A/Singapore/KK136/2010(H1N1)
JX309315,4,1777,4/13/2010,A/Singapore/GP1270/2010
JX309715,4,1761,7/5/2010,A/Singapore/SS39/2010
JX309017,4,1777,1/15/2010,A/Singapore/GP256/2010
JX309522,4,1777,6/3/2010,A/Singapore/SS35/2010
JX309687,4,1748,7/19/2010,A/Singapore/KK499/2010
JX309274,4,1764,3/12/2010,A/Singapore/GP903/2010
JX309286,4,1750,4/26/2010,A/Singapore/TT150/2010
JX309957,4,1777,12/7/2010,A/Singapore/GP4549/2010
JX309471,4,1760,5/26/2010,A/Singapore/GP2638/2010
JX309703,4,1777,7/23/2010,A/Singapore/TT421/2010
JX309086,4,1777,1/12/2010,A/Singapore/TT31/2010
JX309927,4,1777,12/21/2010,A/Singapore/TT488/2010
JX309259,4,1777,3/1/2010,A/Singapore/EN39/2010
JX309840,4,1777,10/4/2010,A/Singapore/GP4217/2010
JX309776,4,1777,9/28/2010,A/Singapore/GP4183/2010
JN381314,4,1701,Jan-11,A/Taiwan/65241/2011
JN381298,4,1701,Dec-10,A/Taiwan/66179/2010
JX309025,4,1763,1/21/2010,A/Singapore/GP368/2010
JX309325,4,1777,4/28/2010,A/Singapore/GP1684/2010
JX309902,4,1743,11/2/2010,A/Singapore/TT474/2010
CY097829,4,1701,12/29/2010,A/District of Columbia/WRAIR0308/2010
JX309760,4,1733,8/18/2010,A/Singapore/GP3828/2010
JX309946,4,1761,12/29/2010,A/Singapore/GP4660/2010(H1N1)
JX309619,4,1715,7/12/2010,A/Singapore/SS42/2010
JN381294,4,1701,Nov-10,A/Taiwan/90184/2010
JN381267,4,1701,Feb-10,A/Taiwan/65299/2010
JN381313,4,1701,Jan-11,A/Taiwan/65225/2011
JX309979,4,1777,12/8/2010,A/Singapore/KK724/2010
JX309630,4,1743,7/9/2010,A/Singapore/GP3442/2010
JX309989,4,1777,12/27/2010,A/Singapore/KK744/2010
CY110862,4,1701,12/14/2010,A/Gangwon/2838/2010
JN704791,4,1744,2/22/2011,A/Cheboksary/IIV-92/2011
JF929773,4,1701,2/28/2011,A/Guangdong/033/2011
CY097805,4,1701,12/24/2010,A/District of Columbia/WRAIR0304/2010
JF929768,4,1701,2/14/2011,A/Guangdong/013/2011
CY124713,4,1777,3/28/2011,A/Singapore/KK157/2011
CY124694,4,1777,4/8/2011,A/Singapore/GP924/2011
CY124792,4,1777,3/28/2011,A/Singapore/TT190/2011
CY124666,4,1777,3/29/2011,A/Singapore/GP887/2011
CY124787,4,1777,3/22/2011,A/Singapore/TT187/2011
CY107453,4,1701,2/4/2010,A/Scotland/Dundee_10V070791/2010
CY120054,4,1726,2/22/2012,A/Mexico/InDRE5498/2012
CY116642,4,1701,12/18/2011,A/Mexico/InDRE3740/2011
CY187648,4,1701,1/21/2014,A/Delaware/3730/2014
JX679212,4,1701,3/4/2012,A/Sao Paulo/14891/2012
KJ943412,4,1753,8/22/2011,A/Santiago/p9d1/2011
CY124726,4,1777,4/18/2011,A/Singapore/KK166/2011
CY124658,4,1777,3/24/2011,A/Singapore/GP871/2011
CY124671,4,1777,3/30/2011,A/Singapore/GP892/2011
CY124568,4,1777,2/10/2011,A/Singapore/GP496/2011
CY124503,4,1730,1/28/2011,A/Singapore/CGH01/2011
CY124614,4,1777,3/7/2011,A/Singapore/GP767/2011
LN850125,4,1701,3/18/2010,A/England/11/2010
CY124587,4,1751,2/22/2011,A/Singapore/GP655/2011
CY124592,4,1777,2/24/2011,A/Singapore/GP677/2011
CY121816,4,1752,2011,A/St. Petersburg/100/2011
JX309638,4,1743,7/13/2010,A/Singapore/GP3481/2010
JX309542,4,1777,6/3/2010,A/Singapore/EN103/2010
JX309621,4,1744,7/19/2010,A/Singapore/SS43/2010
JX309359,4,1760,4/6/2010,A/Singapore/GP1112/2010
JX309102,4,1753,1/13/2010,A/Singapore/GP189/2010
JX309208,4,1777,2/12/2010,A/Singapore/KK80/2010
JX309723,4,1743,7/5/2010,A/Singapore/SS41/2010
JX309389,4,1777,4/1/2010,A/Singapore/TT134/2010
JX309553,4,1771,6/3/2010,A/Singapore/GP2864/2010
JX309317,4,1777,4/14/2010,A/Singapore/GP1286/2010
JX309438,4,1777,5/14/2010,A/Singapore/CC02/2010
JX309893,4,1768,10/25/2010,A/Singapore/GP4363/2010
JX308965,4,1777,1/6/2010,A/Singapore/GP64/2010
JX309551,4,1777,6/2/2010,A/Singapore/GP2830/2010
JN381341,4,1701,Jan-11,A/Taiwan/65305/2011
JN381283,4,1701,Oct-10,A/Taiwan/3002/2010
JN381325,4,1701,Feb-11,A/Taiwan/65374/2011
JN381310,4,1701,Jan-11,A/Taiwan/90060/2011
JN381273,4,1701,Aug-10,A/Taiwan/65854/2010
JN381266,4,1701,Jan-10,A/Taiwan/90027/2010
JN381324,4,1701,Feb-11,A/Taiwan/90187/2011
JN381286,4,1701,Oct-10,A/Taiwan/3096/2010
JN381276,4,1701,Aug-10,A/Taiwan/65895/2010
JN381288,4,1701,Oct-10,A/Taiwan/3133/2010
JN381329,4,1701,Feb-11,A/Taiwan/90236/2011
JN381265,4,1701,Jan-10,A/Taiwan/65229/2010
JN381302,4,1701,Dec-10,A/Taiwan/66259/2010
JN381299,4,1701,Dec-10,A/Taiwan/71590/2010
JN381337,4,1701,Feb-11,A/Taiwan/65525/2011
JN381339,4,1701,Feb-11,A/Taiwan/90284/2011
JN381272,4,1701,Aug-10,A/Taiwan/90112/2010
JN381280,4,1701,Sep-10,A/Taiwan/2904/2010
JN381312,4,1701,Jan-11,A/Taiwan/90079/2011
JN381292,4,1701,Nov-10,A/Taiwan/3276/2010
JN381332,4,1701,Feb-11,A/Taiwan/90242/2011
JN381260,4,1701,Jan-10,A/Taiwan/65048/2010
JN381330,4,1701,Feb-11,A/Taiwan/90241/2011
JN381334,4,1701,Feb-11,A/Taiwan/90252/2011
JN381285,4,1701,Oct-10,A/Taiwan/3093/2010
JN381328,4,1701,Feb-11,A/Taiwan/65395/2011
JN381336,4,1701,Feb-11,A/Taiwan/611/2011
JX309178,4,1749,2/5/2010,A/Singapore/GP643/2010
KC291186,4,1701,6/11/2012,A/Tocantins/45384/2012
CY125783,4,1755,3/26/2012,A/Boston/DOA93/2012
JX309582,4,1777,6/24/2010,A/Singapore/KK444/2010
JX309509,4,1756,6/11/2010,A/Singapore/TT344/2010
JX309910,4,1743,11/1/2010,A/Singapore/GP4406/2010(H1N1)
JX309711,4,1743,7/5/2010,A/Singapore/SS38/2010
JX309430,4,1743,5/5/2010,A/Singapore/SS09/2010
JX309098,4,1753,1/12/2010,A/Singapore/GP166/2010
JX309476,4,1777,5/24/2010,A/Singapore/TT255/2010
JX309513,4,1777,6/9/2010,A/Singapore/TT340/2010
JX625974,4,1701,12/20/2010,A/England/05260592/2010
JX625734,4,1701,11/28/2010,A/England/04880374/2010
JQ914823,4,1701,Jan-11,A/Maracay/IVE00080/2011
JQ365023,4,1701,1/12/2011,A/Hangzhou/B19/2011
JX905420,4,1701,9/7/2011,A/Hawaii/05/2011
JQ365004,4,1701,Jan-10,A/Hangzhou/110/2010
JX625638,4,1701,8/7/2010,A/England/03220137/2010
JX625814,4,1701,12/8/2010,A/England/05020366/2010
