accession,release_date,length,genotype,segment,protein,geo_location,country,collection_date,genbank_title
AEP71342.1,2011-10-08T00:00:00Z,219,H1N1,8,nonstructural protein 1,Russia,Russia,2/22/2011,nonstructural protein 1 [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEP71343.1,2011-10-08T00:00:00Z,121,H1N1,8,nuclear export protein,Russia,Russia,2/22/2011,nuclear export protein [Influenza A virus (A/Cheboksary/IIV-92/2011(H1N1))]
AEQ49973.1,2011-10-19T00:00:00Z,469,H1N1,6,neuraminidase,China,China,9/23/2010,neuraminidase [Influenza A virus (A/Suzhou/S498/2010(H1N1))]
AEQ49974.1,2011-10-19T00:00:00Z,469,H1N1,6,neuraminidase,China,China,1/11/2011,neuraminidase [Influenza A virus (A/Suzhou/J41/2011(H1N1))]
AEQ49975.1,2011-10-19T00:00:00Z,469,H1N1,6,neuraminidase,China,China,1/17/2011,neuraminidase [Influenza A virus (A/Suzhou/S23/2011(H1N1))]
AEN68686.1,2011-11-01T00:00:00Z,225,H5N1,8,nonstructural protein 1,Cambodia: Prey Veng,Cambodia,4/18/2010,nonstructural protein 1 [Influenza A virus (A/Cambodia/U0417030/2010(H5N1))]
AEN68687.1,2011-11-01T00:00:00Z,121,H5N1,8,nuclear export protein,Cambodia: Prey Veng,Cambodia,4/18/2010,nuclear export protein [Influenza A virus (A/Cambodia/U0417030/2010(H5N1))]
AEN68688.1,2011-11-01T00:00:00Z,225,H5N1,8,nonstructural protein 1,Cambodia: Phnom Penh,Cambodia,2/3/2011,nonstructural protein 1 [Influenza A virus (A/Cambodia/V0203306/2011(H5N1))]
AEN68689.1,2011-11-01T00:00:00Z,121,H5N1,8,nuclear export protein,Cambodia: Phnom Penh,Cambodia,2/3/2011,"nuclear export protein, partial [Influenza A virus (A/Cambodia/V0203306/2011(H5N1))]"
AEN68690.1,2011-11-01T00:00:00Z,225,H5N1,8,nonstructural protein 1,Cambodia: Prey Veng,Cambodia,2/17/2011,nonstructural protein 1 [Influenza A virus (A/Cambodia/V0219301/2011(H5N1))]
AEN68691.1,2011-11-01T00:00:00Z,121,H5N1,8,nuclear export protein,Cambodia: Prey Veng,Cambodia,2/17/2011,"nuclear export protein, partial [Influenza A virus (A/Cambodia/V0219301/2011(H5N1))]"
AEN68692.1,2011-11-01T00:00:00Z,225,H5N1,8,nonstructural protein 1,Cambodia: Kampong Cham,Cambodia,3/31/2011,nonstructural protein 1 [Influenza A virus (A/Cambodia/V0401301/2011(H5N1))]
AEN68693.1,2011-11-01T00:00:00Z,121,H5N1,8,nuclear export protein,Cambodia: Kampong Cham,Cambodia,3/31/2011,"nuclear export protein, partial [Influenza A virus (A/Cambodia/V0401301/2011(H5N1))]"
AEN68694.1,2011-11-01T00:00:00Z,225,H5N1,8,nonstructural protein 1,Cambodia: Prey Veng,Cambodia,4/16/2011,nonstructural protein 1 [Influenza A virus (A/Cambodia/V0417301/2011(H5N1))]
AEN68695.1,2011-11-01T00:00:00Z,121,H5N1,8,nuclear export protein,Cambodia: Prey Veng,Cambodia,4/16/2011,"nuclear export protein, partial [Influenza A virus (A/Cambodia/V0417301/2011(H5N1))]"
AEN68696.1,2011-11-01T00:00:00Z,225,H5N1,8,nonstructural protein 1,Cambodia: Prey Veng,Cambodia,6/6/2011,nonstructural protein 1 [Influenza A virus (A/Cambodia/V0606321/2011(H5N1))]
AEN68697.1,2011-11-01T00:00:00Z,121,H5N1,8,nuclear export protein,Cambodia: Prey Veng,Cambodia,6/6/2011,"nuclear export protein, partial [Influenza A virus (A/Cambodia/V0606321/2011(H5N1))]"
AEN68742.1,2011-11-01T00:00:00Z,252,H5N1,7,matrix protein 1,Cambodia: Prey Veng,Cambodia,4/17/2010,matrix protein 1 [Influenza A virus (A/Cambodia/U0417030/2010(H5N1))]
AEN68743.1,2011-11-01T00:00:00Z,97,H5N1,7,matrix protein 2,Cambodia: Prey Veng,Cambodia,4/17/2010,matrix protein 2 [Influenza A virus (A/Cambodia/U0417030/2010(H5N1))]
AEN68744.1,2011-11-01T00:00:00Z,243,H5N1,7,matrix protein 1,Cambodia: Phnom Penh,Cambodia,2/3/2011,"matrix protein 1, partial [Influenza A virus (A/Cambodia/V0203306/2011(H5N1))]"
AEN68745.1,2011-11-01T00:00:00Z,88,H5N1,7,matrix protein 2,Cambodia: Phnom Penh,Cambodia,2/3/2011,"matrix protein 2, partial [Influenza A virus (A/Cambodia/V0203306/2011(H5N1))]"
AEN68746.1,2011-11-01T00:00:00Z,243,H5N1,7,matrix protein 1,Cambodia: Prey Veng,Cambodia,2/17/2011,"matrix protein 1, partial [Influenza A virus (A/Cambodia/V0219301/2011(H5N1))]"
AEN68747.1,2011-11-01T00:00:00Z,88,H5N1,7,matrix protein 2,Cambodia: Prey Veng,Cambodia,2/17/2011,"matrix protein 2, partial [Influenza A virus (A/Cambodia/V0219301/2011(H5N1))]"
AEN68748.1,2011-11-01T00:00:00Z,243,H5N1,7,matrix protein 1,Cambodia: Kampong Cham,Cambodia,3/31/2011,"matrix protein 1, partial [Influenza A virus (A/Cambodia/V0401301/2011(H5N1))]"
AEN68749.1,2011-11-01T00:00:00Z,88,H5N1,7,matrix protein 2,Cambodia: Kampong Cham,Cambodia,3/31/2011,"matrix protein 2, partial [Influenza A virus (A/Cambodia/V0401301/2011(H5N1))]"
AEN68750.1,2011-11-01T00:00:00Z,243,H5N1,7,matrix protein 1,Cambodia: Prey Veng,Cambodia,4/16/2011,"matrix protein 1, partial [Influenza A virus (A/Cambodia/V0417301/2011(H5N1))]"
AEN68751.1,2011-11-01T00:00:00Z,88,H5N1,7,matrix protein 2,Cambodia: Prey Veng,Cambodia,4/16/2011,"matrix protein 2, partial [Influenza A virus (A/Cambodia/V0417301/2011(H5N1))]"
AEN68752.1,2011-11-01T00:00:00Z,242,H5N1,7,matrix protein 1,Cambodia: Prey Veng,Cambodia,6/6/2011,"matrix protein 1, partial [Influenza A virus (A/Cambodia/V0606311/2011(H5N1))]"
AEN68753.1,2011-11-01T00:00:00Z,88,H5N1,7,matrix protein 2,Cambodia: Prey Veng,Cambodia,6/6/2011,"matrix protein 2, partial [Influenza A virus (A/Cambodia/V0606311/2011(H5N1))]"
AEN68793.1,2011-11-01T00:00:00Z,449,H5N1,6,neuraminidase,Cambodia: Prey Veng,Cambodia,4/18/2010,neuraminidase [Influenza A virus (A/Cambodia/U0417030/2010(H5N1))]
AEN68794.1,2011-11-01T00:00:00Z,449,H5N1,6,neuraminidase,Cambodia: Phnom Penh,Cambodia,2/3/2011,neuraminidase [Influenza A virus (A/Cambodia/V0203306/2011(H5N1))]
AEN68795.1,2011-11-01T00:00:00Z,449,H5N1,6,neuraminidase,Cambodia: Prey Veng,Cambodia,2/17/2011,neuraminidase [Influenza A virus (A/Cambodia/V0219301/2011(H5N1))]
AEN68796.1,2011-11-01T00:00:00Z,449,H5N1,6,neuraminidase,Cambodia: Kampong Cham,Cambodia,3/31/2011,neuraminidase [Influenza A virus (A/Cambodia/V0401301/2011(H5N1))]
AEN68797.1,2011-11-01T00:00:00Z,449,H5N1,6,neuraminidase,Cambodia: Prey Veng,Cambodia,4/16/2011,neuraminidase [Influenza A virus (A/Cambodia/V0417301/2011(H5N1))]
AEN68798.1,2011-11-01T00:00:00Z,449,H5N1,6,neuraminidase,Cambodia: Prey Veng,Cambodia,6/6/2011,neuraminidase [Influenza A virus (A/Cambodia/V0606321/2011(H5N1))]
AEN68865.1,2011-11-01T00:00:00Z,759,H5N1,1,polymerase PB2,Cambodia: Prey Veng,Cambodia,4/18/2010,polymerase PB2 [Influenza A virus (A/Cambodia/U0417030/2010(H5N1))]
AEN68866.1,2011-11-01T00:00:00Z,759,H5N1,1,polymerase PB2,Cambodia: Phnom Penh,Cambodia,2/3/2011,polymerase PB2 [Influenza A virus (A/Cambodia/V0203306/2011(H5N1))]
AEN68867.1,2011-11-01T00:00:00Z,759,H5N1,1,polymerase PB2,Cambodia: Prey Veng,Cambodia,2/17/2011,polymerase PB2 [Influenza A virus (A/Cambodia/V0219301/2011(H5N1))]
AEN68868.1,2011-11-01T00:00:00Z,759,H5N1,1,polymerase PB2,Cambodia: Kampong Cham,Cambodia,3/31/2011,polymerase PB2 [Influenza A virus (A/Cambodia/V0401301/2011(H5N1))]
AEN68869.1,2011-11-01T00:00:00Z,759,H5N1,1,polymerase PB2,Cambodia: Prey Veng,Cambodia,4/16/2011,polymerase PB2 [Influenza A virus (A/Cambodia/V0417301/2011(H5N1))]
AEN68870.1,2011-11-01T00:00:00Z,759,H5N1,1,polymerase PB2,Cambodia: Prey Veng,Cambodia,6/6/2011,polymerase PB2 [Influenza A virus (A/Cambodia/V0606311/2011(H5N1))]
AEN68917.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Phnom Penh,Cambodia,6/26/2010,hemagglutinin [Influenza A virus (A/Cambodia/U045/2010(H1N1))]
AEN68918.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Kampong Thom,Cambodia,1/4/2010,hemagglutinin [Influenza A virus (A/Cambodia/U094/2010(H1N1))]
AEN68919.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Phnom Penh,Cambodia,3/15/2010,hemagglutinin [Influenza A virus (A/Cambodia/U099/2010(H1N1))]
AEN68920.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Kampong Cham,Cambodia,2/24/2010,hemagglutinin [Influenza A virus (A/Cambodia/U127/2010(H1N1))]
AEN68921.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Battam Bong,Cambodia,3/16/2010,hemagglutinin [Influenza A virus (A/Cambodia/U132/2010(H1N1))]
AEN68922.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Pailin,Cambodia,2/9/2010,hemagglutinin [Influenza A virus (A/Cambodia/U216/2010(H1N1))]
AEN68923.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Pailin,Cambodia,2/11/2010,hemagglutinin [Influenza A virus (A/Cambodia/U219/2010(H1N1))]
AEN68924.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Pailin,Cambodia,2/16/2010,hemagglutinin [Influenza A virus (A/Cambodia/U221/2010(H1N1))]
AEN68925.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Pailin,Cambodia,2/24/2010,hemagglutinin [Influenza A virus (A/Cambodia/U223/2010(H1N1))]
AEN68926.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Phnom Penh,Cambodia,6/27/2010,hemagglutinin [Influenza A virus (A/Cambodia/U301/2010(H1N1))]
AEN68927.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Phnom Penh,Cambodia,6/27/2010,hemagglutinin [Influenza A virus (A/Cambodia/U302/2010(H1N1))]
AEN68928.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Kampong Cham,Cambodia,7/16/2010,hemagglutinin [Influenza A virus (A/Cambodia/U306/2010(H1N1))]
AEN68929.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Siem Reap,Cambodia,7/5/2010,hemagglutinin [Influenza A virus (A/Cambodia/U308/2010(H1N1))]
AEN68930.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Phnom Penh,Cambodia,7/2/2010,hemagglutinin [Influenza A virus (A/Cambodia/U320/2010(H1N1))]
AEN68931.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Kampong Cham,Cambodia,7/15/2010,hemagglutinin [Influenza A virus (A/Cambodia/U326/2010(H1N1))]
AEN68932.1,2011-11-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Phnom Penh,Cambodia,7/14/2010,hemagglutinin [Influenza A virus (A/Cambodia/U372/2010(H1N1))]
AEN68933.1,2011-11-01T00:00:00Z,568,H5N1,4,hemagglutinin,Cambodia: Prey Veng,Cambodia,4/18/2010,hemagglutinin [Influenza A virus (A/Cambodia/U0417030/2010(H5N1))]
AEN68934.1,2011-11-01T00:00:00Z,568,H5N1,4,hemagglutinin,Cambodia: Phnom Penh,Cambodia,2/3/2011,hemagglutinin [Influenza A virus (A/Cambodia/V0203306/2011(H5N1))]
AEN68935.1,2011-11-01T00:00:00Z,568,H5N1,4,hemagglutinin,Cambodia: Prey Veng,Cambodia,2/17/2011,hemagglutinin [Influenza A virus (A/Cambodia/V0219301/2011(H5N1))]
AEN68936.1,2011-11-01T00:00:00Z,568,H5N1,4,hemagglutinin,Cambodia: Kampong Cham,Cambodia,3/31/2011,hemagglutinin [Influenza A virus (A/Cambodia/V0401301/2011(H5N1))]
AEN68937.1,2011-11-01T00:00:00Z,568,H5N1,4,hemagglutinin,Cambodia: Prey Veng,Cambodia,4/16/2011,hemagglutinin [Influenza A virus (A/Cambodia/V0417301/2011(H5N1))]
AEN68938.1,2011-11-01T00:00:00Z,568,H5N1,4,hemagglutinin,Cambodia: Prey Veng,Cambodia,6/6/2011,hemagglutinin [Influenza A virus (A/Cambodia/V0606311/2011(H5N1))]
AEB71165.1,2012-01-01T00:00:00Z,252,H1N1,7,matrix protein 1,India,India,3/22/2010,matrix protein 1 [Influenza A virus (A/India/Blore/2010(H1N1))]
AEB71166.1,2012-01-01T00:00:00Z,97,H1N1,7,matrix protein 2,India,India,3/22/2010,matrix protein 2 [Influenza A virus (A/India/Blore/2010(H1N1))]
AEB71167.1,2012-01-01T00:00:00Z,219,H1N1,8,nonstructural protein 1,India,India,9/9/2010,nonstructural protein 1 [Influenza A virus (A/India/GWL_DSC/2010(H1N1))]
AEB71168.1,2012-01-01T00:00:00Z,121,H1N1,8,nuclear export protein,India,India,9/9/2010,nuclear export protein [Influenza A virus (A/India/GWL_DSC/2010(H1N1))]
AEB71169.1,2012-01-01T00:00:00Z,219,H1N1,8,nonstructural protein 1,India,India,3/22/2010,nonstructural protein 1 [Influenza A virus (A/India/Blore/2010(H1N1))]
AEB71170.1,2012-01-01T00:00:00Z,121,H1N1,8,nuclear export protein,India,India,3/22/2010,nuclear export protein [Influenza A virus (A/India/Blore/2010(H1N1))]
AEB71171.1,2012-01-01T00:00:00Z,757,H1N1,2,polymerase PB1,India,India,9/9/2010,polymerase PB1 [Influenza A virus (A/India/GWL_DSC/2010(H1N1))]
AEB71172.1,2012-01-01T00:00:00Z,757,H1N1,2,polymerase PB1,India,India,3/22/2010,polymerase PB1 [Influenza A virus (A/India/Blore/2010(H1N1))]
AEX30571.1,2012-01-11T00:00:00Z,252,H1N1,7,matrix protein 1,Philippines,Philippines,8/3/2010,matrix protein 1 [Influenza A virus (A/Philippines/TMC10-59/2010(H1N1))]
AEX30572.1,2012-01-11T00:00:00Z,97,H1N1,7,matrix protein 2,Philippines,Philippines,8/3/2010,matrix protein 2 [Influenza A virus (A/Philippines/TMC10-59/2010(H1N1))]
AEX30573.1,2012-01-11T00:00:00Z,252,H1N1,7,matrix protein 1,Philippines,Philippines,8/3/2010,matrix protein 1 [Influenza A virus (A/Philippines/TMC10-60/2010(H1N1))]
AEX30574.1,2012-01-11T00:00:00Z,97,H1N1,7,matrix protein 2,Philippines,Philippines,8/3/2010,matrix protein 2 [Influenza A virus (A/Philippines/TMC10-60/2010(H1N1))]
AEX30575.1,2012-01-11T00:00:00Z,252,H1N1,7,matrix protein 1,Philippines,Philippines,8/4/2010,matrix protein 1 [Influenza A virus (A/Philippines/TMC10-62/2010(H1N1))]
AEX30576.1,2012-01-11T00:00:00Z,97,H1N1,7,matrix protein 2,Philippines,Philippines,8/4/2010,matrix protein 2 [Influenza A virus (A/Philippines/TMC10-62/2010(H1N1))]
AEX30579.1,2012-01-11T00:00:00Z,252,H1N1,7,matrix protein 1,Philippines,Philippines,7/21/2011,matrix protein 1 [Influenza A virus (A/Philippines/TMC11-37/2011(H1N1))]
AEX30580.1,2012-01-11T00:00:00Z,97,H1N1,7,matrix protein 2,Philippines,Philippines,7/21/2011,matrix protein 2 [Influenza A virus (A/Philippines/TMC11-37/2011(H1N1))]
AEX30581.1,2012-01-11T00:00:00Z,252,H1N1,7,matrix protein 1,Philippines,Philippines,8/29/2011,matrix protein 1 [Influenza A virus (A/Philippines/TMC11-55/2011(H1N1))]
AEX30582.1,2012-01-11T00:00:00Z,97,H1N1,7,matrix protein 2,Philippines,Philippines,8/29/2011,matrix protein 2 [Influenza A virus (A/Philippines/TMC11-55/2011(H1N1))]
AEX30585.1,2012-01-11T00:00:00Z,252,H3N2,7,matrix protein 1,Philippines,Philippines,8/21/2010,matrix protein 1 [Influenza A virus (A/Philippines/TMC10-83/2010(H3N2))]
AEX30586.1,2012-01-11T00:00:00Z,97,H3N2,7,matrix protein 2,Philippines,Philippines,8/21/2010,matrix protein 2 [Influenza A virus (A/Philippines/TMC10-83/2010(H3N2))]
AEX30590.1,2012-01-11T00:00:00Z,469,H1N1,6,neuraminidase,Philippines,Philippines,1/11/2011,neuraminidase [Influenza A virus (A/Philippines/TMC11-12/2011(H1N1))]
AEX30591.1,2012-01-11T00:00:00Z,469,H1N1,6,neuraminidase,Philippines,Philippines,12/21/2010,neuraminidase [Influenza A virus (A/Philippines/TMC10-144/2010(H1N1))]
AEX30595.1,2012-01-11T00:00:00Z,469,H1N1,6,neuraminidase,Philippines,Philippines,7/19/2011,neuraminidase [Influenza A virus (A/Philippines/TMC11-36/2011(H1N1))]
ADV19280.1,2012-02-01T00:00:00Z,544,H3N2,4,hemagglutinin,Peru,Peru,10/19/2010,"hemagglutinin, partial [Influenza A virus (A/Peru/CIS1578/2010(H3N2))]"
AFC98277.1,2012-03-12T00:00:00Z,566,H1N1,4,hemagglutinin,Australia,Australia,8/22/2011,hemagglutinin [Influenza A virus (A/Sydney/07A/2011(H1N1))]
AFC98278.1,2012-03-12T00:00:00Z,566,H1N1,4,hemagglutinin,Australia,Australia,8/26/2011,hemagglutinin [Influenza A virus (A/Sydney/JP12Y/2011(H1N1))]
AFC98279.1,2012-03-12T00:00:00Z,566,H1N1,4,hemagglutinin,Australia,Australia,7/13/2011,hemagglutinin [Influenza A virus (A/Sydney/CH2/2011(H1N1))]
AFC98280.1,2012-03-12T00:00:00Z,566,H1N1,4,hemagglutinin,Australia,Australia,7/19/2011,hemagglutinin [Influenza A virus (A/Sydney/CB1/2011(H1N1))]
AFC98281.1,2012-03-12T00:00:00Z,566,H1N1,4,hemagglutinin,Australia,Australia,7/27/2011,hemagglutinin [Influenza A virus (A/Sydney/CB2/2011(H1N1))]
AFC98282.1,2012-03-12T00:00:00Z,566,H1N1,4,hemagglutinin,Australia,Australia,9/9/2010,hemagglutinin [Influenza A virus (A/Sydney/SB1/2010(H1N1))]
AFC98283.1,2012-03-12T00:00:00Z,566,H1N1,4,hemagglutinin,Australia,Australia,6/28/2011,hemagglutinin [Influenza A virus (A/Sydney/HC1/2011(H1N1))]
AFC98284.1,2012-03-12T00:00:00Z,566,H1N1,4,hemagglutinin,Australia,Australia,8/3/2011,hemagglutinin [Influenza A virus (A/Sydney/IM1/2011(H1N1))]
AFC98285.1,2012-03-12T00:00:00Z,566,H1N1,4,hemagglutinin,Australia,Australia,6/30/2011,hemagglutinin [Influenza A virus (A/Sydney/RB1/2011(H1N1))]
AFC98286.1,2012-03-12T00:00:00Z,566,H1N1,4,hemagglutinin,Australia,Australia,7/3/2011,hemagglutinin [Influenza A virus (A/Sydney/OG1/2011(H1N1))]
AFC98287.1,2012-03-12T00:00:00Z,469,H1N1,6,neuraminidase,Australia,Australia,8/22/2011,neuraminidase [Influenza A virus (A/Sydney/0794/2011(H1N1))]
AFC98288.1,2012-03-12T00:00:00Z,469,H1N1,6,neuraminidase,Australia,Australia,7/19/2011,neuraminidase [Influenza A virus (A/Sydney/CB1/2011(H1N1))]
AFC98289.1,2012-03-12T00:00:00Z,469,H1N1,6,neuraminidase,Australia,Australia,7/27/2011,neuraminidase [Influenza A virus (A/Sydney/CB2/2011(H1N1))]
AFC98290.1,2012-03-12T00:00:00Z,469,H1N1,6,neuraminidase,Australia,Australia,7/13/2011,neuraminidase [Influenza A virus (A/Sydney/CH2/2011(H1N1))]
AFC98291.1,2012-03-12T00:00:00Z,469,H1N1,6,neuraminidase,Australia,Australia,6/30/2011,neuraminidase [Influenza A virus (A/Sydney/RB1/2011(H1N1))]
AFC98292.1,2012-03-12T00:00:00Z,469,H1N1,6,neuraminidase,Australia,Australia,8/26/2011,neuraminidase [Influenza A virus (A/Sydney/JP2Y/2011(H1N1))]
AFC98293.1,2012-03-12T00:00:00Z,469,H1N1,6,neuraminidase,Australia,Australia,6/28/2011,neuraminidase [Influenza A virus (A/Sydney/HC1/2011(H1N1))]
AFC98294.1,2012-03-12T00:00:00Z,469,H1N1,6,neuraminidase,Australia,Australia,7/3/2011,neuraminidase [Influenza A virus (A/Sydney/OG1/2011(H1N1))]
AFC98295.1,2012-03-12T00:00:00Z,469,H1N1,6,neuraminidase,Australia,Australia,8/3/2011,neuraminidase [Influenza A virus (A/Sydney/IM1/2011(H1N1))]
AFC98296.1,2012-03-12T00:00:00Z,469,H1N1,6,neuraminidase,Australia,Australia,7/12/2011,neuraminidase [Influenza A virus (A/Sydney/PM1/2011(H1N1))]
AFE11244.1,2012-03-25T00:00:00Z,759,H1N1,1,polymerase PB2,China,China,1/28/2011,polymerase PB2 [Influenza A virus (A/Tianjinjinnan/SWL41/2011(H1N1))]
AFE11246.1,2012-03-25T00:00:00Z,716,H1N1,3,polymerase PA,China,China,1/28/2011,polymerase PA [Influenza A virus (A/Tianjinjinnan/SWL41/2011(H1N1))]
AFE11247.1,2012-03-25T00:00:00Z,566,H1N1,4,hemagglutinin,China,China,1/28/2011,hemagglutinin [Influenza A virus (A/Tianjinjinnan/SWL41/2011(H1N1))]
AFE11248.1,2012-03-25T00:00:00Z,498,H1N1,5,nucleocapsid protein,China,China,1/28/2011,nucleocapsid protein [Influenza A virus (A/Tianjinjinnan/SWL41/2011(H1N1))]
AFE11249.1,2012-03-25T00:00:00Z,469,H1N1,6,neuraminidase,China,China,1/28/2011,neuraminidase [Influenza A virus (A/Tianjinjinnan/SWL41/2011(H1N1))]
AFE11250.1,2012-03-25T00:00:00Z,252,H1N1,7,matrix protein 1,China,China,1/28/2011,matrix protein 1 [Influenza A virus (A/Tianjinjinnan/SWL41/2011(H1N1))]
AFE11251.1,2012-03-25T00:00:00Z,97,H1N1,7,matrix protein 2,China,China,1/28/2011,matrix protein 2 [Influenza A virus (A/Tianjinjinnan/SWL41/2011(H1N1))]
AFE11252.1,2012-03-25T00:00:00Z,219,H1N1,8,nonstructural protein 1,China,China,1/28/2011,nonstructural protein 1 [Influenza A virus (A/Tianjinjinnan/SWL41/2011(H1N1))]
AFE11253.1,2012-03-25T00:00:00Z,86,H1N1,8,nuclear export protein,China,China,1/28/2011,"nuclear export protein, partial [Influenza A virus (A/Tianjinjinnan/SWL41/2011(H1N1))]"
AFE11254.1,2012-03-25T00:00:00Z,759,H1N1,1,polymerase PB2,China,China,1/8/2011,polymerase PB2 [Influenza A virus (A/Tianjinhedong/SWL44/2011(H1N1))]
AFE11255.1,2012-03-25T00:00:00Z,757,H1N1,2,polymerase PB1,China,China,1/8/2011,polymerase PB1 [Influenza A virus (A/Tianjinhedong/SWL44/2011(H1N1))]
AFE11256.1,2012-03-25T00:00:00Z,716,H1N1,3,polymerase PA,China,China,1/8/2011,polymerase PA [Influenza A virus (A/Tianjinhedong/SWL44/2011(H1N1))]
AFE11259.1,2012-03-25T00:00:00Z,469,H1N1,6,neuraminidase,China,China,1/8/2011,neuraminidase [Influenza A virus (A/Tianjinhedong/SWL44/2011(H1N1))]
AFE11260.1,2012-03-25T00:00:00Z,252,H1N1,7,matrix protein 1,China,China,1/8/2011,matrix protein 1 [Influenza A virus (A/Tianjinhedong/SWL44/2011(H1N1))]
AFE11261.1,2012-03-25T00:00:00Z,97,H1N1,7,matrix protein 2,China,China,1/8/2011,matrix protein 2 [Influenza A virus (A/Tianjinhedong/SWL44/2011(H1N1))]
AFE11262.1,2012-03-25T00:00:00Z,219,H1N1,8,nonstructural protein 1,China,China,1/8/2011,nonstructural protein 1 [Influenza A virus (A/Tianjinhedong/SWL44/2011(H1N1))]
AFE11263.1,2012-03-25T00:00:00Z,86,H1N1,8,nuclear export protein,China,China,1/8/2011,"nuclear export protein, partial [Influenza A virus (A/Tianjinhedong/SWL44/2011(H1N1))]"
AFE11264.1,2012-03-25T00:00:00Z,759,H1N1,1,polymerase PB2,China,China,1/5/2010,polymerase PB2 [Influenza A virus (A/Tianjinnankai/SWL413/2010(H1N1))]
AFE11265.1,2012-03-25T00:00:00Z,757,H1N1,2,polymerase PB1,China,China,1/5/2010,polymerase PB1 [Influenza A virus (A/Tianjinnankai/SWL413/2010(H1N1))]
AFE11266.1,2012-03-25T00:00:00Z,716,H1N1,3,polymerase PA,China,China,1/5/2010,polymerase PA [Influenza A virus (A/Tianjinnankai/SWL413/2010(H1N1))]
AFE11267.1,2012-03-25T00:00:00Z,560,H1N1,4,hemagglutinin,China,China,1/5/2010,"hemagglutinin, partial [Influenza A virus (A/Tianjinnankai/SWL413/2010(H1N1))]"
AFE11268.1,2012-03-25T00:00:00Z,498,H1N1,5,nucleocapsid protein,China,China,1/5/2010,nucleocapsid protein [Influenza A virus (A/Tianjinnankai/SWL413/2010(H1N1))]
AFE11269.1,2012-03-25T00:00:00Z,469,H1N1,6,neuraminidase,China,China,1/5/2010,neuraminidase [Influenza A virus (A/Tianjinnankai/SWL413/2010(H1N1))]
